日期,纳指ETF,红利低波ETF,沪深300ETF,黄金ETF,国债ETF
2013-05-17,0.1993,0.2491,2.2419,2.5780,97.9966
2013-05-24,0.1987,0.2492,2.2453,2.5780,97.9225
2013-05-31,0.1995,0.2529,2.2471,2.5780,98.0425
2013-06-07,0.1945,0.2398,2.1513,2.5780,97.7528
2013-06-14,0.1957,0.2341,2.0996,2.5780,97.7176
2013-06-21,0.1919,0.2262,2.0133,2.5780,96.6065
2013-06-28,0.1925,0.2136,1.9219,2.5780,97.7157
2013-07-05,0.1977,0.2169,1.9521,2.5780,97.7157
2013-07-12,0.2037,0.2223,1.9943,2.5780,96.8543
2013-07-19,0.2037,0.2136,1.9193,2.5780,96.7460
2013-07-26,0.2019,0.2183,1.9538,2.5780,96.5948
2013-08-02,0.2045,0.2203,1.9788,2.5780,96.8494
2013-08-09,0.2051,0.2222,2.0159,2.6160,96.3431
2013-08-16,0.2001,0.2262,2.0331,2.7120,96.0271
2013-08-23,0.2029,0.2262,2.0159,2.7330,95.8525
2013-08-30,0.2017,0.2322,2.0418,2.7870,95.7344
2013-09-06,0.2031,0.2344,2.0771,2.7250,95.5081
2013-09-13,0.2055,0.2474,2.1970,2.6220,95.0262
2013-09-18,0.2081,0.2435,2.1453,2.5890,95.5100
2013-09-27,0.2141,0.2403,2.1142,2.6220,95.6895
2013-09-30,0.2111,0.2431,2.1280,2.6490,95.7354
2013-10-11,0.2129,0.2521,2.1763,2.5690,95.7832
2013-10-18,0.2201,0.2508,2.1358,2.6050,95.4876
2013-10-25,0.2277,0.2483,2.0832,2.6190,95.2028
2013-11-01,0.2235,0.2485,2.1056,2.6020,95.4223
2013-11-08,0.2249,0.2441,2.0357,2.5730,94.0751
2013-11-15,0.2263,0.2441,2.0685,2.5260,93.4390
2013-11-22,0.2215,0.2535,2.1142,2.4580,94.1599
2013-11-29,0.2273,0.2569,2.1505,2.4430,94.2516
2013-12-06,0.2263,0.2609,2.1625,2.4180,94.0634
2013-12-13,0.2243,0.2606,2.1220,2.4100,93.8907
2013-12-20,0.2273,0.2467,2.0124,2.3420,93.5522
2013-12-27,0.2357,0.2508,2.0245,2.4010,93.6917
2014-01-03,0.2321,0.2482,2.0202,2.4240,93.5044
2014-01-10,0.2341,0.2393,1.9452,2.4280,93.7151
2014-01-17,0.2365,0.2379,1.9176,2.4350,93.6790
2014-01-24,0.2371,0.2459,1.9339,2.4600,94.2604
2014-01-30,0.2325,0.2457,1.8900,2.4610,94.6253
2014-02-07,0.2319,0.2480,1.9020,2.4800,94.6848
2014-02-14,0.2365,0.2559,1.9719,2.5520,94.9277
2014-02-21,0.2405,0.2565,1.9486,2.5820,94.9774
2014-02-28,0.2499,0.2483,1.8727,2.6210,95.5354
2014-03-07,0.2461,0.2487,1.8624,2.6490,95.0837
2014-03-14,0.2393,0.2465,1.8270,2.6920,95.4554
2014-03-21,0.2439,0.2505,1.8624,2.6470,95.4535
2014-03-28,0.2345,0.2502,1.8546,2.5880,95.2223
2014-04-04,0.2397,0.2535,1.8813,2.5640,94.9394
2014-04-11,0.2283,0.2630,1.9529,2.6200,95.4583
2014-04-18,0.2307,0.2582,1.9107,2.5790,96.1393
2014-04-25,0.2353,0.2492,1.8641,2.5900,95.9022
2014-04-30,0.2339,0.2497,1.8537,2.6120,96.2075
2014-05-09,0.2317,0.2465,1.8356,2.5880,96.7831
2014-05-16,0.2357,0.2490,1.8460,2.5940,96.6270
2014-05-23,0.2403,0.2497,1.8520,2.5970,96.7168
2014-05-30,0.2477,0.2492,1.8580,2.5350,97.3830
2014-06-06,0.2509,0.2480,1.8417,2.5300,97.4172
2014-06-13,0.2481,0.2522,1.8805,2.5440,97.2943
2014-06-20,0.2507,0.2477,1.8486,2.6270,97.5411
2014-06-27,0.2535,0.2512,1.8675,2.6340,97.4943
2014-07-04,0.2609,0.2560,1.8960,2.6350,97.2806
2014-07-11,0.2561,0.2550,1.8762,2.6690,96.9782
2014-07-18,0.2579,0.2589,1.9003,2.6200,96.4426
