日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2013-05-17,0.1993,0.2491,2.9429,2.5780,96.8251
2013-05-24,0.1987,0.2492,3.0147,2.5780,96.7518
2013-05-31,0.1995,0.2529,3.0716,2.5780,96.8704
2013-06-07,0.1945,0.2398,2.8830,2.5780,96.8545
2013-06-14,0.1957,0.2341,2.8621,2.5780,96.8197
2013-06-21,0.1919,0.2262,2.7423,2.5780,95.7188
2013-06-28,0.1925,0.2136,2.5687,2.5780,96.8178
2013-07-05,0.1977,0.2169,2.6825,2.5780,96.8178
2013-07-12,0.2037,0.2223,2.7334,2.5780,95.9643
2013-07-19,0.2037,0.2136,2.7094,2.5780,95.8570
2013-07-26,0.2019,0.2183,2.7902,2.5780,95.7072
2013-08-02,0.2045,0.2203,2.8202,2.5780,95.9595
2013-08-09,0.2051,0.2222,2.8830,2.6160,95.4579
2013-08-16,0.2001,0.2262,2.8292,2.7120,95.1447
2013-08-23,0.2029,0.2262,2.8890,2.7330,94.9717
2013-08-30,0.2017,0.2322,2.9279,2.7870,94.8547
2013-09-06,0.2031,0.2344,3.0327,2.7250,94.6305
2013-09-13,0.2055,0.2474,3.0626,2.6220,94.1530
2013-09-18,0.2081,0.2435,3.0596,2.5890,94.6324
2013-09-27,0.2141,0.2403,3.0716,2.6220,94.8103
2013-09-30,0.2111,0.2431,3.1404,2.6490,94.8557
2013-10-11,0.2129,0.2521,3.2272,2.5690,94.9031
2013-10-18,0.2201,0.2508,3.1823,2.6050,94.6102
2013-10-25,0.2277,0.2483,3.0476,2.6190,94.3280
2013-11-01,0.2235,0.2485,2.9579,2.6020,94.5454
2013-11-08,0.2249,0.2441,2.8980,2.5730,93.2106
2013-11-15,0.2263,0.2441,2.9848,2.5260,92.5804
2013-11-22,0.2215,0.2535,3.0746,2.4580,93.2947
2013-11-29,0.2273,0.2569,3.1554,2.4430,93.3856
2013-12-06,0.2263,0.2609,3.1374,2.4180,93.1990
2013-12-13,0.2243,0.2606,3.1374,2.4100,93.0279
2013-12-20,0.2273,0.2467,2.9878,2.3420,92.6925
2013-12-27,0.2357,0.2508,3.0327,2.4010,92.8308
2014-01-03,0.2321,0.2482,3.0536,2.4240,92.6452
2014-01-10,0.2341,0.2393,2.8890,2.4280,92.8540
2014-01-17,0.2365,0.2379,2.9219,2.4350,92.8182
2014-01-24,0.2371,0.2459,3.1045,2.4600,93.3943
2014-01-30,0.2325,0.2457,3.1015,2.4610,93.7558
2014-02-07,0.2319,0.2480,3.1644,2.4800,93.8147
2014-02-14,0.2365,0.2559,3.3110,2.5520,94.0554
2014-02-21,0.2405,0.2565,3.2991,2.5820,94.1047
2014-02-28,0.2499,0.2483,3.1734,2.6210,94.6576
2014-03-07,0.2461,0.2487,3.2063,2.6490,94.2100
2014-03-14,0.2393,0.2465,3.0985,2.6920,94.5783
2014-03-21,0.2439,0.2505,3.1524,2.6470,94.5764
2014-03-28,0.2345,0.2502,3.0776,2.5880,94.3473
2014-04-04,0.2397,0.2535,3.1404,2.5640,94.0670
2014-04-11,0.2283,0.2630,3.2093,2.6200,94.5812
2014-04-18,0.2307,0.2582,3.2212,2.5790,95.2559
2014-04-25,0.2353,0.2492,3.0267,2.5900,95.0210
2014-04-30,0.2339,0.2497,2.9968,2.6120,95.3235
2014-05-09,0.2317,0.2465,2.9579,2.5880,95.8938
2014-05-16,0.2357,0.2490,2.9668,2.5940,95.7391
