ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
159509.SZ,景顺长城纳斯达克科技市值加权ETF(QDII),景顺长城基金管理有限公司,招商银行股份有限公司,股票型,20230719,,20230808,20230710,,4.5356,0.8,0.2,,1.0,0.1,,纳斯达克科技市值加权指数收益率(使用估值汇率调整)×100%,L,被动指数型,股票型,,20230808,20230808,E
513390.SH,博时纳斯达克100ETF(QDII),博时基金管理有限公司,中信银行股份有限公司,股票型,20230419,,20230508,20230410,,2.7338,0.5,0.15,,1.0,0.1,,纳斯达克100指数收益率(经估值汇率调整)×100%,L,被动指数型,股票型,,20230508,20230508,E
513650.SH,南方标普500ETF(QDII),南方基金管理股份有限公司,招商银行股份有限公司,股票型,20230323,,20230404,20230130,,4.2073,0.6,0.15,,1.0,0.1,,标普500指数收益率×100%,L,被动指数型,股票型,,20230404,20230404,E
159632.SZ,华安纳斯达克100ETF(QDII),华安基金管理有限公司,中国建设银行股份有限公司,股票型,20220721,,20220803,20220613,,2.6972,0.6,0.2,,1.0,0.1,,纳斯达克100指数收益率(经估值汇率调整)×100%,L,被动指数型,股票型,,20220803,20220803,E
513300.SH,华夏纳斯达克100ETF(QDII),华夏基金管理有限公司,中国工商银行股份有限公司,股票型,20201022,,20201105,20201014,,7.0717,0.6,0.2,,1.0,0.1,,经估值汇率调整后的纳斯达克100指数收益率×100%,L,被动指数型,股票型,,20201105,20201105,E
512890.SH,华泰柏瑞中证红利低波动ETF,华泰柏瑞基金管理有限公司,中国建设银行股份有限公司,股票型,20181219,,20190118,20181121,,6.8356,0.5,0.1,,1.0,0.1,,中证红利低波动指数收益率×100%,L,被动指数型,股票型,,20190118,20190118,E
159941.SZ,广发纳斯达克100ETF(QDII),广发基金管理有限公司,中国银行股份有限公司,股票型,20150610,,20150713,20150520,,2.6305,0.8,0.2,,1.0,0.1,,纳斯达克100指数×100%,L,被动指数型,股票型,,20150713,20150713,E
513500.SH,博时标普500ETF(QDII),博时基金管理有限公司,中国工商银行股份有限公司,股票型,20131205,,20140115,20131104,,5.6504,0.6,0.2,,1.0,0.1,,标普500指数×100%,L,被动指数型,股票型,,20140115,20140115,E
518880.SH,华安易富黄金ETF,华安基金管理有限公司,中国建设银行股份有限公司,其他,20130718,,20130729,20130624,,12.0849,0.5,0.1,,1.0,0.1,,国内黄金现货价格收益率(Au99.99合约)×100%,L,黄金现货合约,其他型,,20130729,20130729,E
513100.SH,国泰纳斯达克100ETF(QDII),国泰基金管理有限公司,中国建设银行股份有限公司,股票型,20130425,,20130515,20130415,,2.6762,0.6,0.2,,1.0,0.1,,纳斯达克100指数×100%,L,被动指数型,股票型,,20130515,20130515,E
511010.SH,国泰上证5年期国债ETF,国泰基金管理有限公司,中国建设银行股份有限公司,债券型,20130305,,20130325,20130221,,54.2363,0.15,0.05,,100.0,0.1,,上证5年期国债指数×100%,L,被动指数型,债券型,,20130325,20130325,E
510500.SH,南方中证500ETF,南方基金管理股份有限公司,中国农业银行股份有限公司,股票型,20130206,,20130315,20130110,,11.4755,0.15,0.05,,1.0,0.1,,中证小盘500指数×100%,L,被动指数型,股票型,,20130315,20130315,E
