ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159632.SZ,20220803,1.019,1.005,1.015,1.005,1.013,-0.006,-0.5888,699548.49,70681.728
159632.SZ,20220804,1.013,1.042,1.046,1.035,1.037,0.024,2.3692,410810.09,42617.465
159632.SZ,20220805,1.037,1.044,1.047,1.043,1.047,0.01,0.9643,278961.17,29153.822
159632.SZ,20220808,1.047,1.034,1.041,1.034,1.04,-0.007,-0.6686,109563.34,11374.517
159632.SZ,20220809,1.04,1.039,1.039,1.031,1.033,-0.007,-0.6731,168464.74,17394.856
159632.SZ,20220810,1.033,1.022,1.022,1.017,1.02,-0.013,-1.2585,130047.69,13270.863
159632.SZ,20220811,1.02,1.047,1.055,1.047,1.055,0.035,3.4314,203078.62,21333.495
159632.SZ,20220812,1.055,1.045,1.045,1.005,1.044,-0.011,-1.0427,94884.51,9887.749
159632.SZ,20220815,1.044,1.059,1.064,1.059,1.063,0.019,1.8199,173604.98,18447.646
159632.SZ,20220816,1.063,1.068,1.079,1.068,1.079,0.016,1.5052,207043.84,22308.579
159632.SZ,20220817,1.079,1.079,1.079,1.072,1.074,-0.005,-0.4634,68123.95,7320.275
159632.SZ,20220818,1.074,1.061,1.064,1.057,1.058,-0.016,-1.4898,84471.57,8965.041
159632.SZ,20220819,1.058,1.065,1.068,1.061,1.063,0.005,0.4726,192703.33,20530.205
159632.SZ,20220822,1.063,1.047,1.047,1.042,1.045,-0.018,-1.6933,102843.86,10745.491
159632.SZ,20220823,1.045,1.028,1.03,1.022,1.027,-0.018,-1.7225,197230.94,20240.578
159632.SZ,20220824,1.027,1.028,1.029,1.021,1.028,0.001,0.0974,208552.51,21347.976
159632.SZ,20220825,1.028,1.036,1.041,1.029,1.041,0.013,1.2646,134442.46,13919.604
159632.SZ,20220826,1.041,1.048,1.05,1.044,1.047,0.006,0.5764,101580.89,10623.217
159632.SZ,20220829,1.047,1.002,1.005,0.99,1.004,-0.043,-4.107,211349.1,21082.552
159632.SZ,20220830,1.004,1.003,1.008,1.002,1.006,0.002,0.1992,249891.16,25133.387
159632.SZ,20220831,1.006,0.996,0.998,0.994,0.998,-0.008,-0.7952,214144.05,21337.853
159632.SZ,20220901,0.998,0.987,0.987,0.975,0.976,-0.022,-2.2044,362815.02,35497.438
159632.SZ,20220902,0.976,0.982,0.988,0.982,0.988,0.012,1.2295,244777.02,24114.691
159632.SZ,20220905,0.988,0.975,0.982,0.974,0.981,-0.007,-0.7085,254583.0,24835.429
159632.SZ,20220906,0.981,0.984,0.985,0.98,0.984,0.003,0.3058,193365.0,18993.006
159632.SZ,20220907,0.984,0.967,0.977,0.967,0.976,-0.008,-0.813,194251.08,18869.992
159632.SZ,20220908,0.976,0.992,0.999,0.991,0.999,0.023,2.3566,162215.09,16139.762
159632.SZ,20220909,0.999,1.002,1.004,0.997,0.997,-0.002,-0.2002,51415.02,5145.861
159632.SZ,20220913,0.997,1.027,1.038,1.023,1.037,0.04,4.012,193948.75,19955.884
159632.SZ,20220914,1.037,0.995,0.995,0.978,0.983,-0.054,-5.2073,277130.02,27243.211
159632.SZ,20220915,0.983,0.987,0.999,0.987,0.99,0.007,0.7121,112178.05,11107.461
159632.SZ,20220916,0.99,0.974,0.976,0.969,0.971,-0.019,-1.9192,133384.06,12956.657
159632.SZ,20220919,0.971,0.971,0.973,0.968,0.972,0.001,0.103,131681.01,12774.105
159632.SZ,20220920,0.972,0.98,0.988,0.979,0.985,0.013,1.3374,295260.0,29050.454
159632.SZ,20220921,0.985,0.977,0.979,0.974,0.979,-0.006,-0.6091,158769.05,15509.454
159632.SZ,20220922,0.979,0.959,0.964,0.95,0.959,-0.02,-2.0429,296084.38,28301.287
159632.SZ,20220923,0.959,0.951,0.954,0.95,0.953,-0.006,-0.6257,163460.01,15556.123
159632.SZ,20220926,0.953,0.945,0.945,0.933,0.94,-0.013,-1.3641,294943.01,27747.319
159632.SZ,20220927,0.94,0.944,0.958,0.942,0.958,0.018,1.9149,213772.0,20292.367
159632.SZ,20220928,0.958,0.952,0.952,0.941,0.943,-0.015,-1.5658,255875.0,24177.219
159632.SZ,20220929,0.943,0.957,0.963,0.956,0.958,0.015,1.5907,260146.11,24968.989
159632.SZ,20220930,0.958,0.935,0.943,0.926,0.934,-0.024,-2.5052,328950.0,30596.453
159632.SZ,20221010,0.934,0.92,0.92,0.911,0.911,-0.023,-2.4625,133885.33,12230.699
159632.SZ,20221011,0.911,0.91,0.915,0.91,0.913,0.002,0.2195,190247.0,17360.731
