ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512890.SH,20190118,1.001,0.998,1.004,0.995,1.003,0.002,0.1998,3244582.58,324300.571
512890.SH,20190121,1.003,1.003,1.009,1.002,1.003,0.0,0.0,765523.25,77018.053
512890.SH,20190122,1.003,1.004,1.006,0.999,1.0,-0.003,-0.2991,150599.26,15106.892
512890.SH,20190123,1.0,1.001,1.005,0.999,1.003,0.003,0.3,174368.06,17497.3
512890.SH,20190124,1.003,1.004,1.008,1.002,1.006,0.003,0.2991,310158.6,31218.191
512890.SH,20190125,1.006,1.006,1.017,1.006,1.011,0.005,0.497,245661.72,24852.597
512890.SH,20190128,1.011,1.014,1.022,1.009,1.012,0.001,0.0989,87140.0,8865.923
512890.SH,20190129,1.012,1.009,1.017,1.002,1.016,0.004,0.3953,76703.72,7773.591
512890.SH,20190130,1.016,1.013,1.022,1.011,1.015,-0.001,-0.0984,110679.72,11253.832
512890.SH,20190131,1.015,1.015,1.024,1.014,1.017,0.002,0.197,86907.34,8872.826
512890.SH,20190201,1.017,1.019,1.028,1.018,1.026,0.009,0.885,124237.0,12704.967
512890.SH,20190211,1.026,1.026,1.038,1.026,1.038,0.012,1.1696,100244.0,10350.513
512890.SH,20190212,1.038,1.038,1.044,1.034,1.041,0.003,0.289,121299.8,12608.597
512890.SH,20190213,1.041,1.042,1.055,1.038,1.052,0.011,1.0567,151193.47,15814.535
512890.SH,20190214,1.052,1.053,1.055,1.046,1.051,-0.001,-0.0951,167734.66,17611.645
512890.SH,20190215,1.051,1.051,1.051,1.032,1.032,-0.019,-1.8078,204129.0,21261.552
512890.SH,20190218,1.032,1.034,1.054,1.034,1.053,0.021,2.0349,674672.95,70827.691
512890.SH,20190219,1.053,1.051,1.06,1.046,1.051,-0.002,-0.1899,186497.22,19615.296
512890.SH,20190220,1.051,1.053,1.057,1.048,1.054,0.003,0.2854,83425.13,8777.305
512890.SH,20190221,1.054,1.054,1.061,1.045,1.046,-0.008,-0.759,110962.12,11662.248
512890.SH,20190222,1.046,1.045,1.055,1.038,1.055,0.009,0.8604,67564.12,7061.514
512890.SH,20190225,1.055,1.055,1.101,1.055,1.099,0.044,4.1706,114679.0,12360.479
512890.SH,20190226,1.099,1.098,1.102,1.071,1.089,-0.01,-0.9099,89123.0,9731.792
512890.SH,20190227,1.089,1.088,1.102,1.082,1.091,0.002,0.1837,63472.0,6945.531
512890.SH,20190228,1.091,1.088,1.097,1.085,1.087,-0.004,-0.3666,65663.0,7154.348
512890.SH,20190301,1.087,1.086,1.1,1.084,1.1,0.013,1.196,50057.92,5446.409
512890.SH,20190304,1.1,1.1,1.131,1.1,1.115,0.015,1.3636,62721.75,7013.722
512890.SH,20190305,1.115,1.114,1.127,1.108,1.127,0.012,1.0762,61024.0,6822.737
512890.SH,20190306,1.127,1.123,1.135,1.121,1.135,0.008,0.7098,67813.39,7649.695
512890.SH,20190307,1.135,1.135,1.135,1.12,1.13,-0.005,-0.4405,60382.8,6805.632
512890.SH,20190308,1.13,1.127,1.127,1.087,1.088,-0.042,-3.7168,51811.81,5721.904
512890.SH,20190311,1.088,1.088,1.107,1.087,1.095,0.007,0.6434,40726.0,4469.644
512890.SH,20190312,1.095,1.097,1.124,1.097,1.113,0.018,1.6438,33888.0,3780.935
512890.SH,20190313,1.113,1.113,1.121,1.107,1.11,-0.003,-0.2695,59674.5,6649.219
512890.SH,20190314,1.11,1.109,1.118,1.093,1.097,-0.013,-1.1712,57945.7,6401.65
512890.SH,20190315,1.097,1.097,1.126,1.097,1.117,0.02,1.8232,41023.0,4574.97
512890.SH,20190318,1.117,1.115,1.152,1.115,1.152,0.035,3.1334,37232.0,4230.722
512890.SH,20190319,1.152,1.152,1.161,1.142,1.15,-0.002,-0.1736,23070.0,2651.274
512890.SH,20190320,1.15,1.147,1.155,1.138,1.153,0.003,0.2609,34155.0,3913.756
512890.SH,20190321,1.153,1.131,1.161,1.131,1.151,-0.002,-0.1735,24552.0,2837.207
512890.SH,20190322,1.151,1.153,1.162,1.145,1.157,0.006,0.5213,33004.0,3805.653
512890.SH,20190325,1.157,1.154,1.162,1.147,1.149,-0.008,-0.6914,17323.0,1999.5
512890.SH,20190326,1.149,1.149,1.157,1.128,1.133,-0.016,-1.3925,23206.0,2650.981
512890.SH,20190327,1.133,1.135,1.149,1.128,1.146,0.013,1.1474,43716.0,4970.128
512890.SH,20190328,1.146,1.145,1.146,1.135,1.14,-0.006,-0.5236,18979.0,2163.166
512890.SH,20190329,1.14,1.137,1.17,1.135,1.17,0.03,2.6316,38740.0,4471.592
512890.SH,20190401,1.17,1.2,1.2,1.171,1.192,0.022,1.8803,46019.0,5475.249
512890.SH,20190402,1.192,1.192,1.203,1.191,1.192,0.0,0.0,15014.0,1793.791
512890.SH,20190403,1.192,1.188,1.21,1.188,1.205,0.013,1.0906,21610.0,2589.65
512890.SH,20190404,1.205,1.206,1.224,1.206,1.223,0.018,1.4938,13385.0,1632.106
512890.SH,20190408,1.223,1.223,1.234,1.209,1.223,0.0,0.0,41192.0,5036.939
512890.SH,20190409,1.223,1.217,1.229,1.216,1.226,0.003,0.2453,14156.0,1728.993
512890.SH,20190410,1.226,1.218,1.237,1.217,1.232,0.006,0.4894,17102.93,2100.085
512890.SH,20190411,1.232,1.232,1.232,1.214,1.215,-0.017,-1.3799,30535.0,3739.724
512890.SH,20190412,1.215,1.217,1.217,1.202,1.21,-0.005,-0.4115,12795.0,1548.453
512890.SH,20190415,1.21,1.222,1.259,1.209,1.209,-0.001,-0.0826,43660.0,5354.883
512890.SH,20190416,1.209,1.209,1.221,1.187,1.219,0.01,0.8271,46169.0,5530.702
512890.SH,20190417,1.219,1.23,1.23,1.217,1.225,0.006,0.4922,14899.0,1822.597
512890.SH,20190418,1.225,1.216,1.225,1.213,1.213,-0.012,-0.9796,42730.25,5205.535
512890.SH,20190419,1.213,1.215,1.225,1.206,1.221,0.008,0.6595,25611.0,3106.158
512890.SH,20190422,1.221,1.22,1.22,1.189,1.192,-0.029,-2.3751,20365.0,2451.335
512890.SH,20190423,1.192,1.196,1.202,1.18,1.18,-0.012,-1.0067,37540.0,4455.427
512890.SH,20190424,1.18,1.18,1.186,1.173,1.186,0.006,0.5085,37690.0,4455.637
512890.SH,20190425,1.186,1.186,1.186,1.15,1.154,-0.032,-2.6981,29853.0,3466.993
512890.SH,20190426,1.154,1.153,1.154,1.13,1.14,-0.014,-1.2132,112001.0,12730.499
512890.SH,20190429,1.14,1.14,1.154,1.14,1.14,0.0,0.0,16969.15,1942.534
512890.SH,20190430,1.14,1.143,1.156,1.143,1.153,0.013,1.1404,12890.15,1480.741
512890.SH,20190506,1.153,1.1,1.165,1.084,1.11,-0.043,-3.7294,109458.0,12066.711
512890.SH,20190507,1.11,1.11,1.114,1.098,1.11,0.0,0.0,35449.0,3923.449
512890.SH,20190508,1.11,1.099,1.11,1.089,1.098,-0.012,-1.0811,19354.0,2135.519
512890.SH,20190509,1.098,1.1,1.108,1.081,1.083,-0.015,-1.3661,26740.0,2906.827
512890.SH,20190510,1.083,1.094,1.116,1.086,1.116,0.033,3.0471,43290.66,4771.767
512890.SH,20190513,1.116,1.1,1.109,1.097,1.106,-0.01,-0.8961,19251.0,2126.831
512890.SH,20190514,1.106,1.102,1.108,1.051,1.099,-0.007,-0.6329,18489.89,2039.413
512890.SH,20190515,1.099,1.091,1.118,1.091,1.114,0.015,1.3649,24249.0,2685.465
512890.SH,20190516,1.114,1.105,1.121,1.105,1.121,0.007,0.6284,15058.0,1677.06
512890.SH,20190517,1.121,1.12,1.12,1.096,1.098,-0.023,-2.0517,25169.0,2797.049
512890.SH,20190520,1.098,1.095,1.095,1.079,1.086,-0.012,-1.0929,25802.0,2800.847
512890.SH,20190521,1.086,1.086,1.106,1.084,1.1,0.014,1.2891,15248.0,1670.543
512890.SH,20190522,1.1,1.099,1.102,1.092,1.095,-0.005,-0.4545,21872.0,2396.411
512890.SH,20190523,1.095,1.086,1.091,1.08,1.083,-0.012,-1.0959,36460.0,3966.859
512890.SH,20190524,1.083,1.073,1.091,1.073,1.086,0.003,0.277,14028.0,1527.551
512890.SH,20190527,1.086,1.087,1.102,1.08,1.102,0.016,1.4733,29764.0,3238.087
512890.SH,20190528,1.102,1.102,1.11,1.1,1.1,-0.002,-0.1815,8485.0,939.347
512890.SH,20190529,1.1,1.1,1.106,1.098,1.1,0.0,0.0,8884.0,979.95
512890.SH,20190530,1.1,1.098,1.107,1.096,1.103,0.003,0.2727,25819.0,2837.567
512890.SH,20190531,1.103,1.1,1.113,1.1,1.103,0.0,0.0,101914.37,11255.278
512890.SH,20190603,1.103,1.104,1.115,1.098,1.104,0.001,0.0907,10876.0,1198.365
512890.SH,20190604,1.104,1.104,1.104,1.094,1.094,-0.01,-0.9058,5934.0,650.569
512890.SH,20190605,1.094,1.103,1.108,1.099,1.099,0.005,0.457,11107.0,1226.288
512890.SH,20190606,1.099,1.099,1.099,1.092,1.093,-0.006,-0.546,9314.0,1018.503
512890.SH,20190610,1.093,1.102,1.105,1.092,1.101,0.008,0.7319,7758.0,853.409
512890.SH,20190611,1.101,1.107,1.126,1.107,1.123,0.022,1.9982,6015.83,671.466
512890.SH,20190612,1.123,1.119,1.119,1.114,1.117,-0.006,-0.5343,17930.0,1998.21
512890.SH,20190613,1.117,1.112,1.115,1.105,1.112,-0.005,-0.4476,4406.0,489.12
512890.SH,20190614,1.112,1.112,1.112,1.102,1.103,-0.009,-0.8094,10004.0,1109.132
512890.SH,20190617,1.103,1.101,1.107,1.099,1.103,0.0,0.0,14966.0,1649.997
512890.SH,20190618,1.103,1.104,1.106,1.101,1.105,0.002,0.1813,18934.0,2090.488
512890.SH,20190619,1.105,1.116,1.122,1.115,1.115,0.01,0.905,25743.0,2883.141
512890.SH,20190620,1.115,1.115,1.138,1.113,1.133,0.018,1.6143,13941.0,1569.191
512890.SH,20190621,1.133,1.139,1.144,1.131,1.136,0.003,0.2648,8766.0,997.33
512890.SH,20190624,1.136,1.136,1.136,1.131,1.135,-0.001,-0.088,5507.0,624.515
512890.SH,20190625,1.135,1.132,1.132,1.116,1.126,-0.009,-0.793,10291.0,1154.731
512890.SH,20190626,1.126,1.125,1.127,1.121,1.123,-0.003,-0.2664,3771.0,423.588
512890.SH,20190627,1.123,1.123,1.136,1.123,1.129,0.006,0.5343,17190.7,1945.595
512890.SH,20190628,1.129,1.129,1.13,1.12,1.125,-0.004,-0.3543,17325.0,1950.094
512890.SH,20190701,1.125,1.125,1.156,1.125,1.147,0.022,1.9556,3750.0,428.812
512890.SH,20190702,1.147,1.147,1.155,1.146,1.155,0.008,0.6975,16074.0,1847.203
512890.SH,20190703,1.155,1.143,1.155,1.143,1.153,-0.002,-0.1732,5375.0,619.822
512890.SH,20190704,1.153,1.158,1.162,1.152,1.152,-0.001,-0.0867,2497.0,288.957
512890.SH,20190705,1.152,1.152,1.16,1.151,1.157,0.005,0.434,3857.0,446.051
512890.SH,20190708,1.157,1.156,1.156,1.1,1.134,-0.023,-1.9879,29253.0,3308.416
512890.SH,20190709,1.134,1.134,1.137,1.13,1.133,-0.001,-0.0882,6959.0,788.741
512890.SH,20190710,1.133,1.132,1.137,1.124,1.125,-0.008,-0.7061,20246.0,2286.52
512890.SH,20190711,1.125,1.134,1.137,1.125,1.125,0.0,0.0,26761.0,3028.545
512890.SH,20190712,1.125,1.127,1.136,1.127,1.134,0.009,0.8,10846.84,1226.813
512890.SH,20190715,1.134,1.128,1.142,1.117,1.136,0.002,0.1764,22611.0,2556.708
512890.SH,20190716,1.136,1.136,1.138,1.134,1.135,-0.001,-0.088,6282.0,713.664
512890.SH,20190717,1.135,1.134,1.142,1.134,1.139,0.004,0.3524,39391.0,4488.439
512890.SH,20190718,1.139,1.134,1.136,1.13,1.13,-0.009,-0.7902,46877.0,5309.161
512890.SH,20190719,1.13,1.141,1.146,1.135,1.141,0.011,0.9735,8842.0,1011.621
512890.SH,20190722,1.141,1.14,1.142,1.128,1.136,-0.005,-0.4382,24748.0,2818.178
512890.SH,20190723,1.136,1.137,1.138,1.134,1.138,0.002,0.1761,13013.0,1477.994
512890.SH,20190724,1.138,1.142,1.149,1.142,1.143,0.005,0.4394,73074.0,8358.936
512890.SH,20190725,1.143,1.142,1.148,1.142,1.147,0.004,0.35,8906.61,1019.131
512890.SH,20190726,1.147,1.146,1.154,1.145,1.153,0.006,0.5231,20794.0,2389.103
512890.SH,20190729,1.153,1.148,1.156,1.148,1.151,-0.002,-0.1735,15560.0,1789.273
512890.SH,20190730,1.151,1.152,1.16,1.152,1.157,0.006,0.5213,35701.0,4130.473
512890.SH,20190731,1.157,1.151,1.151,1.146,1.148,-0.009,-0.7779,26192.0,3006.093
512890.SH,20190801,1.148,1.148,1.148,1.137,1.138,-0.01,-0.8711,22264.0,2541.264
512890.SH,20190802,1.138,1.133,1.133,1.117,1.124,-0.014,-1.2302,24139.0,2702.137
512890.SH,20190805,1.124,1.121,1.122,1.106,1.106,-0.018,-1.6014,30705.0,3422.334
512890.SH,20190806,1.106,1.103,1.103,1.075,1.09,-0.016,-1.4467,35796.0,3880.269
512890.SH,20190807,1.09,1.101,1.12,1.085,1.088,-0.002,-0.1835,17811.0,1943.399
512890.SH,20190808,1.088,1.094,1.101,1.094,1.1,0.012,1.1029,2909.0,318.699
512890.SH,20190809,1.1,1.102,1.102,1.09,1.092,-0.008,-0.7273,11988.0,1311.872
512890.SH,20190812,1.092,1.09,1.102,1.09,1.102,0.01,0.9158,14921.0,1633.174
512890.SH,20190813,1.102,1.097,1.099,1.094,1.097,-0.005,-0.4537,15109.0,1657.573
512890.SH,20190814,1.097,1.103,1.106,1.099,1.099,0.002,0.1823,16528.0,1822.176
512890.SH,20190815,1.099,1.093,1.103,1.082,1.101,0.002,0.182,24643.0,2690.252
512890.SH,20190816,1.101,1.098,1.106,1.098,1.102,0.001,0.0908,27356.0,3012.192
512890.SH,20190819,1.102,1.101,1.121,1.101,1.118,0.016,1.4519,19280.0,2142.732
512890.SH,20190820,1.118,1.117,1.123,1.116,1.119,0.001,0.0894,20297.0,2272.039
512890.SH,20190821,1.119,1.118,1.12,1.116,1.118,-0.001,-0.0894,5567.0,622.15
512890.SH,20190822,1.118,1.115,1.118,1.113,1.118,0.0,0.0,5317.0,593.541
512890.SH,20190823,1.118,1.117,1.123,1.117,1.121,0.003,0.2683,14160.0,1586.502
512890.SH,20190826,1.121,1.115,1.115,1.108,1.112,-0.009,-0.8029,168330.0,18706.232
512890.SH,20190827,1.112,1.117,1.13,1.116,1.127,0.015,1.3489,28601.0,3210.468
512890.SH,20190828,1.127,1.127,1.129,1.123,1.125,-0.002,-0.1775,123964.0,13948.085
512890.SH,20190829,1.125,1.135,1.135,1.115,1.116,-0.009,-0.8,227786.0,25456.546
512890.SH,20190830,1.116,1.12,1.123,1.112,1.113,-0.003,-0.2688,58445.0,6516.811
512890.SH,20190902,1.113,1.114,1.124,1.114,1.122,0.009,0.8086,32331.0,3619.339
512890.SH,20190903,1.122,1.121,1.121,1.116,1.12,-0.002,-0.1783,28705.53,3207.614
512890.SH,20190904,1.12,1.119,1.128,1.118,1.127,0.007,0.625,24844.99,2787.4
512890.SH,20190905,1.127,1.13,1.147,1.13,1.139,0.012,1.0648,77235.0,8819.605
512890.SH,20190906,1.139,1.139,1.141,1.136,1.141,0.002,0.1756,67586.0,7692.193
512890.SH,20190909,1.141,1.152,1.152,1.142,1.147,0.006,0.5259,53685.0,6152.747
512890.SH,20190910,1.147,1.147,1.147,1.14,1.144,-0.003,-0.2616,26340.0,3007.219
512890.SH,20190911,1.144,1.142,1.146,1.142,1.144,0.0,0.0,27977.0,3201.767
512890.SH,20190912,1.144,1.145,1.151,1.145,1.151,0.007,0.6119,96909.0,11127.205
512890.SH,20190916,1.151,1.151,1.155,1.144,1.154,0.003,0.2606,19618.0,2259.053
512890.SH,20190917,1.154,1.149,1.149,1.137,1.139,-0.015,-1.2998,44383.0,5072.817
512890.SH,20190918,1.139,1.139,1.146,1.139,1.142,0.003,0.2634,12301.0,1405.889
512890.SH,20190919,1.142,1.141,1.145,1.141,1.144,0.002,0.1751,7259.0,829.928
512890.SH,20190920,1.144,1.144,1.146,1.143,1.145,0.001,0.0874,17144.0,1961.851
512890.SH,20190923,1.145,1.139,1.139,1.128,1.134,-0.011,-0.9607,45264.0,5124.419
512890.SH,20190924,1.134,1.134,1.14,1.133,1.139,0.005,0.4409,25767.0,2928.525
512890.SH,20190925,1.139,1.135,1.135,1.126,1.127,-0.012,-1.0536,70067.0,7909.298
512890.SH,20190926,1.127,1.127,1.132,1.125,1.127,0.0,0.0,32676.82,3692.357
512890.SH,20190927,1.127,1.12,1.126,1.12,1.125,-0.002,-0.1775,38126.0,4279.378
512890.SH,20190930,1.125,1.136,1.153,1.119,1.12,-0.005,-0.4444,105002.0,11795.787
512890.SH,20191008,1.12,1.12,1.13,1.12,1.127,0.007,0.625,42259.0,4750.55
512890.SH,20191009,1.127,1.123,1.136,1.123,1.136,0.009,0.7986,25385.2,2875.447
512890.SH,20191010,1.136,1.137,1.143,1.137,1.143,0.007,0.6162,7516.0,857.23
512890.SH,20191011,1.143,1.144,1.152,1.143,1.15,0.007,0.6124,17235.0,1978.546
512890.SH,20191014,1.15,1.153,1.168,1.153,1.165,0.015,1.3043,27592.0,3207.211
512890.SH,20191015,1.165,1.165,1.165,1.158,1.158,-0.007,-0.6009,7136.0,827.641
512890.SH,20191016,1.158,1.159,1.168,1.156,1.157,-0.001,-0.0864,11687.0,1356.597
512890.SH,20191017,1.157,1.157,1.161,1.152,1.153,-0.004,-0.3457,27055.0,3127.139
512890.SH,20191018,1.153,1.158,1.158,1.138,1.14,-0.013,-1.1275,38173.0,4384.856
512890.SH,20191021,1.14,1.138,1.146,1.136,1.144,0.004,0.3509,16641.0,1899.875
512890.SH,20191022,1.144,1.141,1.147,1.141,1.147,0.003,0.2622,3107.0,355.332
512890.SH,20191023,1.147,1.147,1.147,1.139,1.141,-0.006,-0.5231,13693.0,1564.084
512890.SH,20191024,1.141,1.141,1.145,1.138,1.143,0.002,0.1753,7143.0,815.016
512890.SH,20191025,1.143,1.143,1.149,1.14,1.148,0.005,0.4374,4383.0,501.942
512890.SH,20191028,1.148,1.152,1.153,1.148,1.152,0.004,0.3484,10719.0,1233.825
512890.SH,20191029,1.152,1.149,1.151,1.144,1.145,-0.007,-0.6076,7113.0,815.183
512890.SH,20191030,1.145,1.143,1.143,1.138,1.141,-0.004,-0.3493,13798.0,1572.632
512890.SH,20191031,1.141,1.141,1.141,1.132,1.132,-0.009,-0.7888,11893.0,1351.831
