ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,adj_nav,update_flag
159632.SZ,20220722,20220721,1.0,1.0,,269720640.0,1.0,1
159632.SZ,20220726,20220722,0.998,0.998,,,0.998,1
159632.SZ,20220729,20220727,1.0068,1.0068,,271546509.71,1.0068,0
159632.SZ,20220802,20220729,1.018,1.018,,,1.018,0
159632.SZ,20220803,20220801,1.019,1.019,,,1.019,0
159632.SZ,20220804,20220802,1.0161,1.0161,,,1.0161,0
159632.SZ,20220805,20220803,1.0488,1.0488,,,1.0488,0
159632.SZ,20220806,20220804,1.0507,1.0507,,,1.0507,0
159632.SZ,20220809,20220805,1.0387,1.0387,,,1.0387,0
159632.SZ,20220810,20220808,1.0402,1.0402,,,1.0402,0
159632.SZ,20220811,20220809,1.026,1.026,,,1.026,0
159632.SZ,20220812,20220810,1.0558,1.0558,,,1.0558,0
159632.SZ,20220813,20220811,1.0438,1.0438,,,1.0438,0
159632.SZ,20220816,20220812,1.0666,1.0666,,,1.0666,0
159632.SZ,20220817,20220815,1.0742,1.0742,,,1.0742,0
159632.SZ,20220818,20220816,1.0775,1.0775,,,1.0775,0
159632.SZ,20220819,20220817,1.0671,1.0671,,,1.0671,0
159632.SZ,20220820,20220818,1.0686,1.0686,,,1.0686,0
159632.SZ,20220823,20220819,1.0523,1.0523,,,1.0523,0
159632.SZ,20220824,20220822,1.0265,1.0265,,,1.0265,0
159632.SZ,20220825,20220823,1.0311,1.0311,,,1.0311,0
159632.SZ,20220826,20220824,1.0318,1.0318,,,1.0318,0
159632.SZ,20220827,20220825,1.0519,1.0519,,,1.0519,0
159632.SZ,20220830,20220826,1.0081,1.0081,,,1.0081,0
159632.SZ,20220831,20220829,1.0021,1.0021,,,1.0021,0
159632.SZ,20220901,20220830,0.9923,0.9923,,,0.9923,0
159632.SZ,20220902,20220831,0.9881,0.9881,,,0.9881,0
159632.SZ,20220903,20220901,0.987,0.987,,,0.987,0
159632.SZ,20220906,20220902,0.9743,0.9743,,,0.9743,0
159632.SZ,20220907,20220905,0.9754,0.9754,,,0.9754,0
159632.SZ,20220908,20220906,0.9698,0.9698,,,0.9698,0
159632.SZ,20220909,20220907,0.9915,0.9915,,,0.9915,0
159632.SZ,20220910,20220908,0.9969,0.9969,,,0.9969,0
159632.SZ,20220914,20220909,1.0179,1.0179,,,1.0179,0
159632.SZ,20220915,20220913,0.9707,0.9707,,,0.9707,0
159632.SZ,20220916,20220914,0.9814,0.9814,,,0.9814,0
159632.SZ,20220917,20220915,0.9644,0.9644,,,0.9644,0
159632.SZ,20220920,20220916,0.9615,0.9615,,,0.9615,0
159632.SZ,20220921,20220919,0.9699,0.9699,,,0.9699,0
159632.SZ,20220922,20220920,0.9625,0.9625,,,0.9625,0
159632.SZ,20220923,20220921,0.946,0.946,,,0.946,0
159632.SZ,20220924,20220922,0.9382,0.9382,,,0.9382,0
159632.SZ,20220927,20220923,0.9245,0.9245,,,0.9245,0
159632.SZ,20220928,20220926,0.9242,0.9242,,,0.9242,0
159632.SZ,20220929,20220927,0.9308,0.9308,,,0.9308,0
159632.SZ,20220930,20220928,0.9546,0.9546,,,0.9546,0
159632.SZ,20221001,20220929,0.927,0.927,,,0.927,0
159632.SZ,20221025,20220930,0.9097,0.9097,,150753033.45,0.9097,1
159632.SZ,20221012,20221010,0.9056,0.9056,,,0.9056,0
159632.SZ,20221013,20221011,0.8953,0.8953,,,0.8953,0
159632.SZ,20221014,20221012,0.8952,0.8952,,,0.8952,0
159632.SZ,20221015,20221013,0.9157,0.9157,,,0.9157,0
159632.SZ,20221018,20221014,0.8873,0.8873,,,0.8873,0
159632.SZ,20221019,20221017,0.9179,0.9179,,,0.9179,0
159632.SZ,20221020,20221018,0.9248,0.9248,,,0.9248,0
159632.SZ,20221021,20221019,0.9214,0.9214,,,0.9214,0
159632.SZ,20221022,20221020,0.9177,0.9177,,,0.9177,0
159632.SZ,20221025,20221021,0.94,0.94,,,0.94,0
159632.SZ,20221026,20221024,0.9501,0.9501,,,0.9501,0
159632.SZ,20221027,20221025,0.9759,0.9759,,,0.9759,0
159632.SZ,20221028,20221026,0.953,0.953,,,0.953,0
159632.SZ,20221029,20221027,0.9341,0.9341,,,0.9341,0
159632.SZ,20221101,20221028,0.9655,0.9655,,,0.9655,0
159632.SZ,20221102,20221031,0.9545,0.9545,,,0.9545,0
159632.SZ,20221103,20221101,0.9486,0.9486,,,0.9486,0
159632.SZ,20221104,20221102,0.9179,0.9179,,,0.9179,0
159632.SZ,20221105,20221103,0.9029,0.9029,,,0.9029,0
159632.SZ,20221108,20221104,0.9182,0.9182,,,0.9182,0
159632.SZ,20221109,20221107,0.9233,0.9233,,,0.9233,0
159632.SZ,20221110,20221108,0.9281,0.9281,,,0.9281,0
159632.SZ,20221111,20221109,0.9068,0.9068,,,0.9068,0
159632.SZ,20221112,20221110,0.9778,0.9778,,,0.9778,0
159632.SZ,20221115,20221111,0.9885,0.9885,,,0.9885,0
159632.SZ,20221116,20221114,0.9654,0.9654,,,0.9654,0
159632.SZ,20221117,20221115,0.9727,0.9727,,,0.9727,0
159632.SZ,20221118,20221116,0.9574,0.9574,,,0.9574,0
159632.SZ,20221119,20221117,0.9591,0.9591,,,0.9591,0
159632.SZ,20221122,20221118,0.9659,0.9659,,,0.9659,0
159632.SZ,20221123,20221121,0.9586,0.9586,,,0.9586,0
159632.SZ,20221124,20221122,0.98,0.98,,,0.98,0
159632.SZ,20221125,20221123,0.9829,0.9829,,,0.9829,0
159632.SZ,20221126,20221124,0.982,0.982,,,0.982,0
159632.SZ,20221129,20221125,0.9771,0.9771,,,0.9771,0
159632.SZ,20221130,20221128,0.9663,0.9663,,,0.9663,0
159632.SZ,20221201,20221129,0.9649,0.9649,,,0.9649,0
159632.SZ,20221202,20221130,1.0052,1.0052,,,1.0052,0
159632.SZ,20221203,20221201,0.9965,0.9965,,,0.9965,0
159632.SZ,20221206,20221202,0.9834,0.9834,,,0.9834,0
159632.SZ,20221207,20221205,0.9644,0.9644,,,0.9644,0
159632.SZ,20221208,20221206,0.9365,0.9365,,,0.9365,0
159632.SZ,20221209,20221207,0.9352,0.9352,,,0.9352,0
159632.SZ,20221210,20221208,0.9416,0.9416,,,0.9416,0
159632.SZ,20221213,20221209,0.9351,0.9351,,,0.9351,0
159632.SZ,20221214,20221212,0.9462,0.9462,,,0.9462,0
159632.SZ,20221215,20221213,0.9587,0.9587,,,0.9587,0
159632.SZ,20221216,20221214,0.9484,0.9484,,,0.9484,0
159632.SZ,20221217,20221215,0.9141,0.9141,,,0.9141,0
159632.SZ,20221220,20221216,0.9114,0.9114,,,0.9114,0
159632.SZ,20221221,20221219,0.8983,0.8983,,,0.8983,0
159632.SZ,20221222,20221220,0.8976,0.8976,,,0.8976,0
159632.SZ,20221223,20221221,0.9086,0.9086,,,0.9086,0
159632.SZ,20221224,20221222,0.8875,0.8875,,,0.8875,0
159632.SZ,20221227,20221223,0.8909,0.8909,,,0.8909,0
159632.SZ,20221228,20221226,0.8907,0.8907,,,0.8907,0
159632.SZ,20221229,20221227,0.8735,0.8735,,,0.8735,0
159632.SZ,20221230,20221228,0.8636,0.8636,,,0.8636,0
159632.SZ,20221231,20221229,0.8865,0.8865,,,0.8865,0
159632.SZ,20230104,20221230,0.8828,0.8828,,,0.8828,0
159632.SZ,20230120,20221231,0.8828,0.8828,,3039260371.9,0.8828,1
159632.SZ,20230105,20230103,0.8742,0.8742,,,0.8742,0
159632.SZ,20230106,20230104,0.8742,0.8742,,,0.8742,0
159632.SZ,20230107,20230105,0.8576,0.8576,,,0.8576,0
159632.SZ,20230110,20230106,0.8813,0.8813,,,0.8813,0
159632.SZ,20230111,20230109,0.8784,0.8784,,,0.8784,0
159632.SZ,20230112,20230110,0.8778,0.8778,,,0.8778,0
159632.SZ,20230113,20230111,0.8951,0.8951,,,0.8951,0
159632.SZ,20230114,20230112,0.8985,0.8985,,,0.8985,0
159632.SZ,20230117,20230113,0.8997,0.8997,,,0.8997,0
159632.SZ,20230118,20230116,0.8977,0.8977,,,0.8977,0
159632.SZ,20230119,20230117,0.9003,0.9003,,,0.9003,0
159632.SZ,20230120,20230118,0.8937,0.8937,,,0.8937,0
159632.SZ,20230121,20230119,0.8856,0.8856,,,0.8856,0
159632.SZ,20230131,20230120,0.9113,0.9113,,,0.9113,0
159632.SZ,20230201,20230130,0.9331,0.9331,,,0.9331,0
159632.SZ,20230202,20230131,0.9476,0.9476,,,0.9476,0
159632.SZ,20230203,20230201,0.9665,0.9665,,,0.9665,0
159632.SZ,20230204,20230202,0.9956,0.9956,,,0.9956,0
159632.SZ,20230207,20230203,0.9813,0.9813,,,0.9813,0
159632.SZ,20230208,20230206,0.9779,0.9779,,,0.9779,0
159632.SZ,20230209,20230207,1.0018,1.0018,,,1.0018,0
159632.SZ,20230210,20230208,0.9805,0.9805,,,0.9805,0
159632.SZ,20230211,20230209,0.9737,0.9737,,,0.9737,0
159632.SZ,20230214,20230210,0.9675,0.9675,,,0.9675,0
159632.SZ,20230215,20230213,0.9868,0.9868,,,0.9868,0
159632.SZ,20230216,20230214,0.9936,0.9936,,,0.9936,0
159632.SZ,20230217,20230215,1.0023,1.0023,,,1.0023,0
159632.SZ,20230218,20230216,0.9876,0.9876,,,0.9876,0
159632.SZ,20230221,20230217,0.9828,0.9828,,,0.9828,0
159632.SZ,20230222,20230220,0.9825,0.9825,,,0.9825,0
159632.SZ,20230223,20230221,0.9576,0.9576,,,0.9576,0
159632.SZ,20230224,20230222,0.9608,0.9608,,,0.9608,0
159632.SZ,20230225,20230223,0.9738,0.9738,,,0.9738,0
159632.SZ,20230228,20230224,0.9558,0.9558,,,0.9558,0
159632.SZ,20230301,20230227,0.9717,0.9717,,,0.9717,0
159632.SZ,20230302,20230228,0.9697,0.9697,,,0.9697,0
159632.SZ,20230303,20230301,0.9597,0.9597,,,0.9597,0
159632.SZ,20230304,20230302,0.9601,0.9601,,,0.9601,0
159632.SZ,20230307,20230303,0.9841,0.9841,,,0.9841,0
159632.SZ,20230308,20230306,0.9826,0.9826,,,0.9826,0
159632.SZ,20230309,20230307,0.9734,0.9734,,,0.9734,0
159632.SZ,20230310,20230308,0.9835,0.9835,,,0.9835,0
159632.SZ,20230311,20230309,0.9678,0.9678,,,0.9678,0
159632.SZ,20230314,20230310,0.9543,0.9543,,,0.9543,0
159632.SZ,20230315,20230313,0.9579,0.9579,,,0.9579,0
159632.SZ,20230316,20230314,0.9744,0.9744,,,0.9744,0
159632.SZ,20230317,20230315,0.9747,0.9747,,,0.9747,0
159632.SZ,20230318,20230316,1.0075,1.0075,,,1.0075,0
159632.SZ,20230321,20230317,1.0012,1.0012,,,1.0012,0
159632.SZ,20230322,20230320,0.9995,0.9995,,,0.9995,0
