ts_code,trade_date,fd_share,fund_type,market
159632.SZ,20220721,26972.064,ETF,SZ
159632.SZ,20220803,26972.064,ETF,SZ
159632.SZ,20220804,24272.064,ETF,SZ
159632.SZ,20220805,22972.064,ETF,SZ
159632.SZ,20220808,20872.064,ETF,SZ
159632.SZ,20220809,20872.064,ETF,SZ
159632.SZ,20220810,19872.064,ETF,SZ
159632.SZ,20220811,19072.064,ETF,SZ
159632.SZ,20220812,18472.064,ETF,SZ
159632.SZ,20220815,18072.064,ETF,SZ
159632.SZ,20220816,17872.064,ETF,SZ
159632.SZ,20220817,16872.064,ETF,SZ
159632.SZ,20220818,16872.064,ETF,SZ
159632.SZ,20220819,16072.064,ETF,SZ
159632.SZ,20220822,16072.064,ETF,SZ
159632.SZ,20220823,15272.064,ETF,SZ
159632.SZ,20220824,15172.064,ETF,SZ
159632.SZ,20220825,14772.064,ETF,SZ
159632.SZ,20220826,14772.064,ETF,SZ
159632.SZ,20220829,14772.064,ETF,SZ
159632.SZ,20220830,14572.064,ETF,SZ
159632.SZ,20220831,14072.064,ETF,SZ
159632.SZ,20220901,13572.064,ETF,SZ
159632.SZ,20220902,13572.064,ETF,SZ
159632.SZ,20220905,13472.064,ETF,SZ
159632.SZ,20220906,13472.064,ETF,SZ
159632.SZ,20220907,13372.064,ETF,SZ
159632.SZ,20220908,13372.064,ETF,SZ
159632.SZ,20220909,13372.064,ETF,SZ
159632.SZ,20220913,13372.064,ETF,SZ
159632.SZ,20220914,13272.064,ETF,SZ
159632.SZ,20220915,13272.064,ETF,SZ
159632.SZ,20220916,13272.064,ETF,SZ
159632.SZ,20220919,13272.064,ETF,SZ
159632.SZ,20220920,13272.064,ETF,SZ
159632.SZ,20220921,14272.064,ETF,SZ
159632.SZ,20220922,14372.064,ETF,SZ
159632.SZ,20220923,14472.064,ETF,SZ
159632.SZ,20220926,14572.064,ETF,SZ
159632.SZ,20220927,14672.064,ETF,SZ
159632.SZ,20220928,14872.064,ETF,SZ
159632.SZ,20220929,15672.064,ETF,SZ
159632.SZ,20220930,16572.064,ETF,SZ
159632.SZ,20221010,16572.064,ETF,SZ
159632.SZ,20221011,16572.064,ETF,SZ
159632.SZ,20221012,16572.064,ETF,SZ
159632.SZ,20221013,16772.064,ETF,SZ
159632.SZ,20221014,16772.064,ETF,SZ
159632.SZ,20221017,16772.064,ETF,SZ
159632.SZ,20221018,16772.064,ETF,SZ
159632.SZ,20221019,16772.064,ETF,SZ
159632.SZ,20221020,16772.064,ETF,SZ
159632.SZ,20221021,16972.064,ETF,SZ
159632.SZ,20221024,16972.064,ETF,SZ
159632.SZ,20221025,17072.064,ETF,SZ
159632.SZ,20221026,17072.064,ETF,SZ
159632.SZ,20221027,17072.064,ETF,SZ
159632.SZ,20221028,17072.064,ETF,SZ
159632.SZ,20221031,17072.064,ETF,SZ
159632.SZ,20221101,17072.064,ETF,SZ
159632.SZ,20221102,17072.064,ETF,SZ
159632.SZ,20221103,17172.064,ETF,SZ
159632.SZ,20221104,17272.064,ETF,SZ
159632.SZ,20221107,28572.064,ETF,SZ
159632.SZ,20221108,35172.064,ETF,SZ
159632.SZ,20221109,34772.064,ETF,SZ
159632.SZ,20221110,34672.064,ETF,SZ
159632.SZ,20221111,34672.064,ETF,SZ
159632.SZ,20221114,34472.064,ETF,SZ
159632.SZ,20221115,34272.064,ETF,SZ
159632.SZ,20221116,31272.064,ETF,SZ
159632.SZ,20221117,29172.064,ETF,SZ
159632.SZ,20221118,25572.064,ETF,SZ
159632.SZ,20221121,25572.064,ETF,SZ
159632.SZ,20221122,24572.064,ETF,SZ
159632.SZ,20221123,24472.064,ETF,SZ
159632.SZ,20221124,24472.064,ETF,SZ
159632.SZ,20221125,24472.064,ETF,SZ
159632.SZ,20221128,21372.064,ETF,SZ
159632.SZ,20221129,21372.064,ETF,SZ
159632.SZ,20221130,21372.064,ETF,SZ
159632.SZ,20221201,24572.064,ETF,SZ
159632.SZ,20221202,23872.064,ETF,SZ
159632.SZ,20221205,23872.064,ETF,SZ
159632.SZ,20221206,26272.064,ETF,SZ
159632.SZ,20221207,26272.064,ETF,SZ
159632.SZ,20221208,27872.064,ETF,SZ
159632.SZ,20221209,31472.064,ETF,SZ
159632.SZ,20221212,31472.064,ETF,SZ
159632.SZ,20221213,32872.064,ETF,SZ
159632.SZ,20221214,36072.064,ETF,SZ
159632.SZ,20221215,39272.064,ETF,SZ
159632.SZ,20221216,47072.064,ETF,SZ
159632.SZ,20221219,67072.064,ETF,SZ
159632.SZ,20221220,105472.064,ETF,SZ
159632.SZ,20221221,137372.064,ETF,SZ
159632.SZ,20221222,158672.064,ETF,SZ
159632.SZ,20221223,180572.064,ETF,SZ
159632.SZ,20221226,226672.064,ETF,SZ
159632.SZ,20221227,226672.064,ETF,SZ
159632.SZ,20221228,243772.064,ETF,SZ
159632.SZ,20221229,282672.064,ETF,SZ
159632.SZ,20221230,316072.064,ETF,SZ
159632.SZ,20221231,344272.064,ETF,SZ
159632.SZ,20230103,344272.064,ETF,SZ
159632.SZ,20230104,349472.064,ETF,SZ
159632.SZ,20230105,369672.064,ETF,SZ
159632.SZ,20230106,382472.064,ETF,SZ
159632.SZ,20230109,407372.064,ETF,SZ
159632.SZ,20230110,413272.064,ETF,SZ
159632.SZ,20230111,414872.064,ETF,SZ
159632.SZ,20230112,427672.064,ETF,SZ
159632.SZ,20230113,442072.064,ETF,SZ
159632.SZ,20230116,456972.064,ETF,SZ
159632.SZ,20230117,456972.064,ETF,SZ
159632.SZ,20230118,456972.064,ETF,SZ
159632.SZ,20230119,456972.064,ETF,SZ
159632.SZ,20230120,457372.064,ETF,SZ
159632.SZ,20230130,464172.064,ETF,SZ
159632.SZ,20230131,464172.064,ETF,SZ
159632.SZ,20230201,464372.064,ETF,SZ
159632.SZ,20230202,465972.064,ETF,SZ
159632.SZ,20230203,465972.064,ETF,SZ
159632.SZ,20230206,465972.064,ETF,SZ
159632.SZ,20230207,466772.064,ETF,SZ
159632.SZ,20230208,466772.064,ETF,SZ
159632.SZ,20230209,467772.064,ETF,SZ
159632.SZ,20230210,468772.064,ETF,SZ
159632.SZ,20230213,470572.064,ETF,SZ
159632.SZ,20230214,471872.064,ETF,SZ
159632.SZ,20230215,472272.064,ETF,SZ
159632.SZ,20230216,465972.064,ETF,SZ
159632.SZ,20230217,466972.064,ETF,SZ
159632.SZ,20230220,466472.064,ETF,SZ
159632.SZ,20230221,466472.064,ETF,SZ
159632.SZ,20230222,447872.064,ETF,SZ
159632.SZ,20230223,448872.064,ETF,SZ
159632.SZ,20230224,442672.064,ETF,SZ
159632.SZ,20230227,443672.064,ETF,SZ
