ts_code,trade_date,fd_share,fund_type,market
513650.SH,20230323,42073.4,,SH
513650.SH,20230403,42073.4,,SH
513650.SH,20230404,41773.4,,SH
513650.SH,20230406,41773.4,,SH
513650.SH,20230407,41773.4,,SH
513650.SH,20230410,33273.4,,SH
513650.SH,20230411,33273.4,,SH
513650.SH,20230412,33273.4,,SH
513650.SH,20230413,33273.4,,SH
513650.SH,20230414,31373.4,,SH
513650.SH,20230417,31373.4,,SH
513650.SH,20230418,31173.4,,SH
513650.SH,20230419,31173.4,,SH
513650.SH,20230420,31073.4,,SH
513650.SH,20230421,31073.4,,SH
513650.SH,20230424,31073.4,,SH
513650.SH,20230425,32473.4,,SH
513650.SH,20230426,32473.4,,SH
513650.SH,20230427,32273.4,,SH
513650.SH,20230428,30973.4,,SH
513650.SH,20230504,30973.4,,SH
513650.SH,20230505,30973.4,,SH
513650.SH,20230508,30973.4,,SH
513650.SH,20230509,30973.4,,SH
513650.SH,20230510,30973.4,,SH
513650.SH,20230511,31173.4,,SH
513650.SH,20230512,31173.4,,SH
513650.SH,20230515,31073.4,,SH
513650.SH,20230516,30273.4,,SH
513650.SH,20230517,30273.4,,SH
513650.SH,20230518,30273.4,,SH
513650.SH,20230519,30273.4,,SH
513650.SH,20230522,30273.4,,SH
513650.SH,20230523,30273.4,,SH
513650.SH,20230524,30173.4,,SH
513650.SH,20230525,30273.4,,SH
513650.SH,20230526,29873.4,,SH
513650.SH,20230529,29873.4,,SH
513650.SH,20230530,28873.4,,SH
513650.SH,20230531,28873.4,,SH
513650.SH,20230601,28873.4,,SH
513650.SH,20230602,28873.4,,SH
513650.SH,20230605,28873.4,,SH
513650.SH,20230606,28873.4,,SH
513650.SH,20230607,28873.4,,SH
513650.SH,20230608,28873.4,,SH
513650.SH,20230609,28873.4,,SH
513650.SH,20230612,28873.4,,SH
513650.SH,20230613,28973.4,,SH
513650.SH,20230614,28973.4,,SH
513650.SH,20230615,29073.4,,SH
513650.SH,20230616,29073.4,,SH
513650.SH,20230619,29073.4,,SH
513650.SH,20230620,29073.4,,SH
513650.SH,20230621,29073.4,,SH
513650.SH,20230626,29073.4,,SH
513650.SH,20230627,29273.4,,SH
513650.SH,20230628,29373.4,,SH
513650.SH,20230629,29673.4,,SH
513650.SH,20230630,35073.4,,SH
513650.SH,20230703,35773.4,,SH
513650.SH,20230704,35773.4,,SH
513650.SH,20230705,36173.4,,SH
513650.SH,20230706,36673.4,,SH
513650.SH,20230707,36673.4,,SH
513650.SH,20230710,37273.4,,SH
513650.SH,20230711,37273.4,,SH
513650.SH,20230712,35373.4,,SH
513650.SH,20230713,35373.4,,SH
513650.SH,20230714,35373.4,,SH
513650.SH,20230717,36573.4,,SH
513650.SH,20230718,36573.4,,SH
513650.SH,20230719,37873.4,,SH
513650.SH,20230720,37873.4,,SH
513650.SH,20230721,37873.4,,SH
513650.SH,20230724,38873.4,,SH
513650.SH,20230725,36373.4,,SH
513650.SH,20230726,36473.4,,SH
513650.SH,20230727,36473.4,,SH
513650.SH,20230728,36573.4,,SH
513650.SH,20230731,36573.4,,SH
513650.SH,20230801,36773.4,,SH
513650.SH,20230802,36973.4,,SH
513650.SH,20230803,37073.4,,SH
513650.SH,20230804,37073.4,,SH
513650.SH,20230807,40373.4,,SH
513650.SH,20230808,40873.4,,SH
513650.SH,20230809,40873.4,,SH
513650.SH,20230810,40873.4,,SH
513650.SH,20230811,41273.4,,SH
513650.SH,20230814,41773.4,,SH
513650.SH,20230815,45473.4,,SH
513650.SH,20230816,46773.4,,SH
513650.SH,20230817,47373.4,,SH
513650.SH,20230818,47373.4,,SH
513650.SH,20230821,47373.4,,SH
513650.SH,20230822,46873.4,,SH
513650.SH,20230823,46873.4,,SH
513650.SH,20230824,47473.4,,SH
513650.SH,20230825,47673.4,,SH
513650.SH,20230828,47673.4,,SH
513650.SH,20230829,47973.4,,SH
513650.SH,20230830,48073.4,,SH
513650.SH,20230831,48173.4,,SH
513650.SH,20230901,48173.4,,SH
513650.SH,20230904,48173.4,,SH
513650.SH,20230905,49073.4,,SH
513650.SH,20230906,49573.4,,SH
513650.SH,20230907,49873.4,,SH
513650.SH,20230908,49873.4,,SH
513650.SH,20230911,43473.4,,SH
513650.SH,20230912,43473.4,,SH
513650.SH,20230913,43473.4,,SH
513650.SH,20230914,43473.4,,SH
513650.SH,20230915,43373.4,,SH
513650.SH,20230918,43373.4,,SH
513650.SH,20230919,43673.4,,SH
513650.SH,20230920,44373.4,,SH
513650.SH,20230921,44273.4,,SH
513650.SH,20230922,44473.4,,SH
513650.SH,20230925,44573.4,,SH
513650.SH,20230926,44573.4,,SH
513650.SH,20230927,44573.4,,SH
513650.SH,20230928,44573.4,,SH
513650.SH,20230930,44573.4,,SH
513650.SH,20231009,44573.4,,SH
513650.SH,20231010,43473.4,,SH
513650.SH,20231011,43473.4,,SH
513650.SH,20231012,43473.4,,SH
513650.SH,20231013,43473.4,,SH
513650.SH,20231016,43473.4,,SH
513650.SH,20231017,41473.4,,SH
513650.SH,20231018,40673.4,,SH
513650.SH,20231019,40673.4,,SH
513650.SH,20231020,40673.4,,SH
513650.SH,20231023,40673.4,,SH
513650.SH,20231024,40673.4,,SH
513650.SH,20231025,40673.4,,SH
513650.SH,20231026,40773.4,,SH
513650.SH,20231027,40773.4,,SH
513650.SH,20231030,40773.4,,SH
513650.SH,20231031,41073.4,,SH
513650.SH,20231101,41273.4,,SH
513650.SH,20231102,41273.4,,SH
513650.SH,20231103,41273.4,,SH
513650.SH,20231106,40173.4,,SH
513650.SH,20231107,40173.4,,SH
513650.SH,20231108,40473.4,,SH
513650.SH,20231109,41173.4,,SH
513650.SH,20231110,42073.4,,SH
513650.SH,20231113,42473.4,,SH
513650.SH,20231114,42473.4,,SH
513650.SH,20231115,42073.4,,SH
513650.SH,20231116,42073.4,,SH
513650.SH,20231117,42073.4,,SH
513650.SH,20231120,38873.4,,SH
513650.SH,20231121,33973.4,,SH
513650.SH,20231122,33973.4,,SH
513650.SH,20231123,33973.4,,SH
513650.SH,20231124,33973.4,,SH
513650.SH,20231127,33973.4,,SH
513650.SH,20231128,33973.4,,SH
513650.SH,20231129,28373.4,,SH
513650.SH,20231130,28373.4,,SH
513650.SH,20231201,28473.4,,SH
513650.SH,20231204,28673.4,,SH
513650.SH,20231205,28673.4,,SH
513650.SH,20231206,28873.4,,SH
513650.SH,20231207,28873.4,,SH
513650.SH,20231208,28873.4,,SH
513650.SH,20231211,29973.4,,SH
513650.SH,20231212,29973.4,,SH
513650.SH,20231213,30373.4,,SH
513650.SH,20231214,26473.4,,SH
513650.SH,20231215,22473.4,,SH
513650.SH,20231218,22373.4,,SH
513650.SH,20231219,22373.4,,SH
513650.SH,20231220,22373.4,,SH
513650.SH,20231221,22373.4,,SH
513650.SH,20231222,22373.4,,SH
513650.SH,20231225,22373.4,,SH
513650.SH,20231226,22373.4,,SH
513650.SH,20231227,22373.4,,SH
513650.SH,20231228,21073.4,,SH
513650.SH,20231229,20773.4,,SH
513650.SH,20231231,20773.4,,SH
513650.SH,20240102,21073.4,,SH
513650.SH,20240103,21373.4,,SH
513650.SH,20240104,21573.4,,SH
513650.SH,20240105,22273.4,,SH
513650.SH,20240108,22373.4,,SH
513650.SH,20240109,23373.4,,SH
513650.SH,20240110,23473.4,,SH
513650.SH,20240111,23473.4,,SH
513650.SH,20240112,23573.4,,SH
513650.SH,20240115,23573.4,,SH
513650.SH,20240116,23573.4,,SH
513650.SH,20240117,23573.4,,SH
513650.SH,20240118,23573.4,,SH
513650.SH,20240119,23573.4,,SH
513650.SH,20240122,23873.4,,SH
513650.SH,20240123,27373.4,,SH
513650.SH,20240124,37373.4,,SH
513650.SH,20240125,35273.4,,SH
513650.SH,20240126,35873.4,,SH
513650.SH,20240129,36173.4,,SH
513650.SH,20240130,39773.4,,SH
513650.SH,20240131,40073.4,,SH
513650.SH,20240201,40473.4,,SH
513650.SH,20240202,41773.4,,SH
513650.SH,20240205,44973.4,,SH
513650.SH,20240206,44973.4,,SH
513650.SH,20240207,44873.4,,SH
513650.SH,20240208,47173.4,,SH
513650.SH,20240219,47173.4,,SH
513650.SH,20240220,47773.4,,SH
513650.SH,20240221,49673.4,,SH
513650.SH,20240222,50073.4,,SH
513650.SH,20240223,50873.4,,SH
513650.SH,20240226,50673.4,,SH
513650.SH,20240227,50273.4,,SH
513650.SH,20240228,50273.4,,SH
513650.SH,20240229,50773.4,,SH
513650.SH,20240301,51173.4,,SH
513650.SH,20240304,52173.4,,SH
513650.SH,20240305,52273.4,,SH
513650.SH,20240306,52573.4,,SH
513650.SH,20240307,53473.4,,SH
513650.SH,20240308,55673.4,,SH
513650.SH,20240311,56173.4,,SH
513650.SH,20240312,56273.4,,SH
513650.SH,20240313,55473.4,,SH
513650.SH,20240314,55473.4,,SH
513650.SH,20240315,55073.4,,SH
513650.SH,20240318,53573.4,,SH
513650.SH,20240319,52573.4,,SH
513650.SH,20240320,51773.4,,SH
513650.SH,20240321,52873.4,,SH
513650.SH,20240322,55673.4,,SH
513650.SH,20240325,63473.4,,SH
513650.SH,20240326,64473.4,,SH
513650.SH,20240327,65973.4,,SH
513650.SH,20240328,72173.4,,SH
513650.SH,20240329,72173.4,,SH
513650.SH,20240331,72173.4,,SH
513650.SH,20240401,73173.4,,SH
513650.SH,20240402,74173.4,,SH
513650.SH,20240403,73773.4,,SH
513650.SH,20240408,73773.4,,SH
513650.SH,20240409,74773.4,,SH
513650.SH,20240410,74173.4,,SH
513650.SH,20240411,72873.4,,SH
513650.SH,20240412,70873.4,,SH
513650.SH,20240415,70873.4,,SH
513650.SH,20240416,67473.4,,SH
513650.SH,20240417,66473.4,,SH
513650.SH,20240418,65473.4,,SH
513650.SH,20240419,65273.4,,SH
513650.SH,20240422,64773.4,,SH
513650.SH,20240423,64773.4,,SH
513650.SH,20240424,65773.4,,SH
513650.SH,20240425,66773.4,,SH
513650.SH,20240426,67773.4,,SH
513650.SH,20240429,67973.4,,SH
513650.SH,20240430,67673.4,,SH
513650.SH,20240506,67273.4,,SH
513650.SH,20240507,66873.4,,SH
513650.SH,20240508,66373.4,,SH
513650.SH,20240509,66173.4,,SH
513650.SH,20240510,66173.4,,SH
513650.SH,20240513,66173.4,,SH
513650.SH,20240514,66173.4,,SH
513650.SH,20240515,66673.4,,SH
513650.SH,20240516,67673.4,,SH
513650.SH,20240517,68673.4,,SH
513650.SH,20240520,68573.4,,SH
513650.SH,20240521,68473.4,,SH
513650.SH,20240522,68273.4,,SH
513650.SH,20240523,67973.4,,SH
513650.SH,20240524,67173.4,,SH
513650.SH,20240527,67173.4,,SH
513650.SH,20240528,66973.4,,SH
513650.SH,20240529,66673.4,,SH
513650.SH,20240530,66173.4,,SH
513650.SH,20240531,65073.4,,SH
513650.SH,20240603,64973.4,,SH
513650.SH,20240604,65173.4,,SH
513650.SH,20240605,65173.4,,SH
513650.SH,20240606,65373.4,,SH
513650.SH,20240607,66073.4,,SH
513650.SH,20240611,67073.4,,SH
513650.SH,20240612,68073.4,,SH
513650.SH,20240613,69073.4,,SH
513650.SH,20240614,70073.4,,SH
513650.SH,20240617,71073.4,,SH
513650.SH,20240618,71273.4,,SH
513650.SH,20240619,71273.4,,SH
513650.SH,20240620,71673.4,,SH
513650.SH,20240621,72673.4,,SH
513650.SH,20240624,73373.4,,SH
513650.SH,20240625,73473.4,,SH
513650.SH,20240626,74473.4,,SH
513650.SH,20240627,76473.4,,SH
513650.SH,20240628,80473.4,,SH
513650.SH,20240630,80473.4,,SH
513650.SH,20240701,82473.4,,SH
513650.SH,20240702,84473.4,,SH
513650.SH,20240703,86473.4,,SH
513650.SH,20240704,86473.4,,SH
513650.SH,20240705,90473.4,,SH
513650.SH,20240708,92473.4,,SH
513650.SH,20240709,94473.4,,SH
513650.SH,20240710,94973.4,,SH
513650.SH,20240711,95473.4,,SH
513650.SH,20240712,95973.4,,SH
513650.SH,20240715,96473.4,,SH
513650.SH,20240716,96973.4,,SH
513650.SH,20240717,97473.4,,SH
513650.SH,20240718,97973.4,,SH
513650.SH,20240719,98473.4,,SH
513650.SH,20240722,98973.4,,SH
513650.SH,20240723,99473.4,,SH
513650.SH,20240724,99973.4,,SH
513650.SH,20240725,100473.4,,SH
513650.SH,20240726,100973.4,,SH
513650.SH,20240729,101073.4,,SH
513650.SH,20240730,101173.4,,SH
513650.SH,20240731,101273.4,,SH
513650.SH,20240801,101373.4,,SH
513650.SH,20240802,101473.4,,SH
513650.SH,20240805,101473.4,,SH
513650.SH,20240806,101573.4,,SH
513650.SH,20240807,101673.4,,SH
513650.SH,20240808,101773.4,,SH
513650.SH,20240809,101873.4,,SH
513650.SH,20240812,101973.4,,SH
513650.SH,20240813,102073.4,,SH
513650.SH,20240814,102173.4,,SH
513650.SH,20240815,102373.4,,SH
513650.SH,20240816,102573.4,,SH
513650.SH,20240819,102773.4,,SH
513650.SH,20240820,102973.4,,SH
513650.SH,20240821,103173.4,,SH
513650.SH,20240822,103373.4,,SH
513650.SH,20240823,103573.4,,SH
513650.SH,20240826,103773.4,,SH
513650.SH,20240827,103973.4,,SH
513650.SH,20240828,104173.4,,SH
513650.SH,20240829,104473.4,,SH
513650.SH,20240830,104773.4,,SH
513650.SH,20240902,104773.4,,SH
513650.SH,20240903,105073.4,,SH
513650.SH,20240904,105373.4,,SH
513650.SH,20240905,105673.4,,SH
513650.SH,20240906,105973.4,,SH
513650.SH,20240909,106273.4,,SH
513650.SH,20240910,109773.4,,SH
513650.SH,20240911,113273.4,,SH
513650.SH,20240912,113773.4,,SH
513650.SH,20240913,114273.4,,SH
513650.SH,20240918,114773.4,,SH
513650.SH,20240919,115773.4,,SH
513650.SH,20240920,116773.4,,SH
513650.SH,20240923,117773.4,,SH
513650.SH,20240924,119773.4,,SH
513650.SH,20240925,120273.4,,SH
513650.SH,20240926,120773.4,,SH
513650.SH,20240927,120773.4,,SH
513650.SH,20240930,122273.4,,SH
513650.SH,20241008,121973.4,,SH
513650.SH,20241009,122173.4,,SH
513650.SH,20241010,122373.4,,SH
513650.SH,20241011,123973.4,,SH
513650.SH,20241014,125973.4,,SH
513650.SH,20241015,127973.4,,SH
513650.SH,20241016,129973.4,,SH
513650.SH,20241017,131973.4,,SH
513650.SH,20241018,133973.4,,SH
513650.SH,20241021,136473.4,,SH
513650.SH,20241022,139473.4,,SH
513650.SH,20241023,142473.4,,SH
513650.SH,20241024,145473.4,,SH
513650.SH,20241025,148473.4,,SH
513650.SH,20241028,151473.4,,SH
513650.SH,20241029,153473.4,,SH
513650.SH,20241030,156473.4,,SH
513650.SH,20241031,159473.4,,SH
513650.SH,20241101,162473.4,,SH
513650.SH,20241104,165473.4,,SH
513650.SH,20241105,166473.4,,SH
513650.SH,20241106,167473.4,,SH
513650.SH,20241107,168473.4,,SH
513650.SH,20241108,169473.4,,SH
513650.SH,20241111,170473.4,,SH
513650.SH,20241112,171473.4,,SH
513650.SH,20241113,174473.4,,SH
513650.SH,20241114,177473.4,,SH
513650.SH,20241115,180473.4,,SH
513650.SH,20241118,183473.4,,SH
513650.SH,20241119,186473.4,,SH
513650.SH,20241120,189473.4,,SH
513650.SH,20241121,192473.4,,SH
513650.SH,20241122,195473.4,,SH
513650.SH,20241125,198473.4,,SH
513650.SH,20241126,201473.4,,SH
513650.SH,20241127,204473.4,,SH
513650.SH,20241128,204473.4,,SH
513650.SH,20241129,207473.4,,SH
513650.SH,20241202,210473.4,,SH
513650.SH,20241203,213473.4,,SH
513650.SH,20241204,216473.4,,SH
513650.SH,20241205,217973.4,,SH
513650.SH,20241206,218473.4,,SH
513650.SH,20241209,218673.4,,SH
513650.SH,20241210,218873.4,,SH
513650.SH,20241211,219073.4,,SH
513650.SH,20241212,219273.4,,SH
513650.SH,20241213,219473.4,,SH
513650.SH,20241216,219673.4,,SH
513650.SH,20241217,222673.4,,SH
513650.SH,20241218,225673.4,,SH
513650.SH,20241219,228673.4,,SH
513650.SH,20241220,231673.4,,SH
513650.SH,20241223,234673.4,,SH
513650.SH,20241224,240673.4,,SH
513650.SH,20241225,240673.4,,SH
513650.SH,20241226,246673.4,,SH
513650.SH,20241227,252673.4,,SH
513650.SH,20241230,254173.4,,SH
513650.SH,20241231,255173.4,,SH
513650.SH,20250102,255373.4,,SH
513650.SH,20250103,255573.4,,SH
513650.SH,20250106,255773.4,,SH
513650.SH,20250107,255973.4,,SH
513650.SH,20250108,256173.4,,SH
513650.SH,20250109,256173.4,,SH
513650.SH,20250110,256273.4,,SH
513650.SH,20250113,256373.4,,SH
513650.SH,20250114,256473.4,,SH
513650.SH,20250115,256573.4,,SH
513650.SH,20250116,256673.4,,SH
513650.SH,20250117,256773.4,,SH
513650.SH,20250120,256773.4,,SH
513650.SH,20250121,256873.4,,SH
513650.SH,20250122,256973.4,,SH
513650.SH,20250123,257073.4,,SH
513650.SH,20250124,257173.4,,SH
513650.SH,20250127,257273.4,,SH
513650.SH,20250205,257373.4,,SH
513650.SH,20250206,257473.4,,SH
513650.SH,20250207,257573.4,,SH
513650.SH,20250210,257673.4,,SH
513650.SH,20250211,257773.4,,SH
513650.SH,20250212,257873.4,,SH
513650.SH,20250213,257973.4,,SH
513650.SH,20250214,258073.4,,SH
513650.SH,20250217,258073.4,,SH
513650.SH,20250218,258173.4,,SH
513650.SH,20250219,258273.4,,SH
513650.SH,20250220,258373.4,,SH
513650.SH,20250221,258473.4,,SH
513650.SH,20250224,258573.4,,SH
513650.SH,20250225,258673.4,,SH
513650.SH,20250226,258773.4,,SH
513650.SH,20250227,258873.4,,SH
513650.SH,20250228,258973.4,,SH
513650.SH,20250303,259073.4,,SH
513650.SH,20250304,259173.4,,SH
513650.SH,20250305,259273.4,,SH
513650.SH,20250306,259373.4,,SH
513650.SH,20250307,259473.4,,SH
513650.SH,20250310,259573.4,,SH
513650.SH,20250311,259673.4,,SH
513650.SH,20250312,259773.4,,SH
513650.SH,20250313,259873.4,,SH
513650.SH,20250314,259873.4,,SH
513650.SH,20250317,259973.4,,SH
513650.SH,20250318,260073.4,,SH
513650.SH,20250319,260173.4,,SH
513650.SH,20250320,260273.4,,SH
513650.SH,20250321,260373.4,,SH
513650.SH,20250324,260473.4,,SH
513650.SH,20250325,260573.4,,SH
513650.SH,20250326,260673.4,,SH
513650.SH,20250327,260773.4,,SH
513650.SH,20250328,260873.4,,SH
513650.SH,20250331,260973.4,,SH
513650.SH,20250401,261073.4,,SH
513650.SH,20250402,261173.4,,SH
513650.SH,20250403,261273.4,,SH
513650.SH,20250407,261373.4,,SH
513650.SH,20250408,261473.4,,SH
513650.SH,20250409,261573.4,,SH
513650.SH,20250410,261673.4,,SH
513650.SH,20250411,261673.4,,SH
513650.SH,20250414,261673.4,,SH
513650.SH,20250415,261673.4,,SH
513650.SH,20250416,261673.4,,SH
513650.SH,20250417,255673.4,,SH
513650.SH,20250418,255673.4,,SH
513650.SH,20250421,246273.4,,SH
513650.SH,20250422,246373.4,,SH
513650.SH,20250423,246473.4,,SH
513650.SH,20250424,246473.4,,SH
513650.SH,20250425,246573.4,,SH
513650.SH,20250428,246673.4,,SH
513650.SH,20250429,246673.4,,SH
513650.SH,20250430,246773.4,,SH
513650.SH,20250506,235273.4,,SH
513650.SH,20250507,233073.4,,SH
513650.SH,20250508,233073.4,,SH
513650.SH,20250509,233073.4,,SH
513650.SH,20250512,233073.4,,SH
513650.SH,20250513,233073.4,,SH
513650.SH,20250514,233073.4,,SH
513650.SH,20250515,232373.4,,SH
513650.SH,20250516,232373.4,,SH
513650.SH,20250519,232373.4,,SH
513650.SH,20250520,232373.4,,SH
513650.SH,20250521,232373.4,,SH
513650.SH,20250522,232373.4,,SH
513650.SH,20250523,232373.4,,SH
513650.SH,20250526,232373.4,,SH
513650.SH,20250527,228973.4,,SH
513650.SH,20250528,228973.4,,SH
513650.SH,20250529,228973.4,,SH
513650.SH,20250530,228973.4,,SH
513650.SH,20250603,224973.4,,SH
513650.SH,20250604,221173.4,,SH
513650.SH,20250605,221173.4,,SH
513650.SH,20250606,220473.4,,SH
513650.SH,20250609,218473.4,,SH
513650.SH,20250610,218573.4,,SH
513650.SH,20250611,216173.4,,SH
513650.SH,20250612,214573.4,,SH
513650.SH,20250613,214573.4,,SH
513650.SH,20250616,214573.4,,SH
513650.SH,20250617,214573.4,,SH
513650.SH,20250618,214673.4,,SH
513650.SH,20250619,214673.4,,SH
513650.SH,20250620,215373.4,,SH
513650.SH,20250623,216073.4,,SH
513650.SH,20250624,216373.4,,SH
513650.SH,20250625,216373.4,,SH
513650.SH,20250626,217073.4,,SH
513650.SH,20250627,217773.4,,SH
513650.SH,20250630,217973.4,,SH
513650.SH,20250701,217973.4,,SH
513650.SH,20250702,217973.4,,SH
513650.SH,20250703,218073.4,,SH
513650.SH,20250704,218073.4,,SH
513650.SH,20250707,218773.4,,SH
513650.SH,20250708,218773.4,,SH
513650.SH,20250709,218773.4,,SH
513650.SH,20250710,218773.4,,SH
513650.SH,20250711,218773.4,,SH
513650.SH,20250714,218773.4,,SH
513650.SH,20250715,216373.4,,SH
513650.SH,20250716,215273.4,,SH
513650.SH,20250717,215073.4,,SH
513650.SH,20250718,212373.4,,SH
513650.SH,20250721,209473.4,,SH
513650.SH,20250722,207773.4,,SH
513650.SH,20250723,206173.4,,SH
513650.SH,20250724,205173.4,,SH
513650.SH,20250725,205173.4,,SH
513650.SH,20250728,205673.4,,SH
513650.SH,20250729,205673.4,,SH
513650.SH,20250730,205673.4,,SH
513650.SH,20250731,206173.4,,SH
513650.SH,20250801,206173.4,,SH
513650.SH,20250804,206173.4,,SH
513650.SH,20250805,206173.4,,SH
513650.SH,20250806,204573.4,,SH
513650.SH,20250807,204573.4,,SH
513650.SH,20250808,204573.4,,SH
513650.SH,20250811,204973.4,,SH
513650.SH,20250812,204973.4,,SH
513650.SH,20250813,204973.4,,SH
513650.SH,20250814,204973.4,,SH
513650.SH,20250815,204973.4,,SH
513650.SH,20250818,200373.4,,SH
513650.SH,20250819,199273.4,,SH
513650.SH,20250820,197073.4,,SH
513650.SH,20250821,197073.4,,SH
