ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
USDCNH.FXCM,20120218,6.2999,6.2999,6.2999,6.2999,6.3021,6.3021,6.3021,6.3021,0
USDCNH.FXCM,20120220,6.2999,6.2918,6.2999,6.2841,6.3021,6.2969,6.3021,6.2908,6605
USDCNH.FXCM,20120221,6.2918,6.2964,6.3009,6.2898,6.2969,6.3013,6.3041,6.295,11092
USDCNH.FXCM,20120222,6.2964,6.296,6.3019,6.2932,6.3013,6.3009,6.3036,6.2963,9891
USDCNH.FXCM,20120223,6.296,6.2966,6.3011,6.2945,6.3009,6.2997,6.3031,6.2966,9202
USDCNH.FXCM,20120224,6.2966,6.2939,6.2975,6.2894,6.2997,6.297,6.3005,6.296,8980
USDCNH.FXCM,20120227,6.2939,6.3023,6.3042,6.2864,6.297,6.3054,6.3068,6.2916,12412
USDCNH.FXCM,20120228,6.3023,6.2939,6.3033,6.2915,6.3054,6.2987,6.3078,6.2951,4711
USDCNH.FXCM,20120229,6.2939,6.2951,6.2966,6.2891,6.2987,6.2981,6.2993,6.2929,3500
USDCNH.FXCM,20120301,6.2951,6.2922,6.2997,6.2913,6.2981,6.2953,6.304,6.295,3221
USDCNH.FXCM,20120302,6.2922,6.2919,6.2961,6.2917,6.2953,6.2969,6.2992,6.2946,2319
USDCNH.FXCM,20120305,6.2919,6.3005,6.3039,6.2889,6.2969,6.3035,6.3244,6.2938,4236
USDCNH.FXCM,20120306,6.3005,6.3117,6.3141,6.2975,6.3035,6.3147,6.3173,6.3025,3833
USDCNH.FXCM,20120307,6.3117,6.3067,6.3161,6.2943,6.3147,6.3098,6.3213,6.3015,5018
USDCNH.FXCM,20120308,6.3067,6.3029,6.3109,6.3018,6.3098,6.3078,6.316,6.3053,3214
USDCNH.FXCM,20120309,6.3029,6.3084,6.3084,6.2959,6.3078,6.3122,6.3122,6.3004,2457
USDCNH.FXCM,20120312,6.3084,6.317,6.3201,6.3056,6.3122,6.32,6.323,6.3105,3425
USDCNH.FXCM,20120313,6.317,6.3365,6.3434,6.3146,6.32,6.3399,6.3501,6.3174,3444
USDCNH.FXCM,20120314,6.3365,6.3353,6.3468,6.3277,6.3399,6.3406,6.3515,6.3308,4329
USDCNH.FXCM,20120315,6.3353,6.3296,6.3413,6.3257,6.3406,6.3354,6.3448,6.329,3481
USDCNH.FXCM,20120316,6.3296,6.3169,6.3303,6.3148,6.3354,6.3207,6.3358,6.3195,3440
USDCNH.FXCM,20120319,6.3169,6.3154,6.3214,6.3113,6.3207,6.3232,6.3235,6.3154,2587
USDCNH.FXCM,20120320,6.3154,6.3256,6.3295,6.3114,6.3232,6.3295,6.3356,6.3164,1479
USDCNH.FXCM,20120321,6.3256,6.3245,6.328,6.3193,6.3295,6.3283,6.3358,6.3231,2503
USDCNH.FXCM,20120322,6.3245,6.314,6.3245,6.3091,6.3283,6.3181,6.3284,6.3139,1580
USDCNH.FXCM,20120323,6.314,6.3088,6.314,6.2968,6.3181,6.3133,6.3189,6.3016,2441
USDCNH.FXCM,20120326,6.3088,6.3125,6.3209,6.3029,6.3133,6.3155,6.3222,6.3083,2191
USDCNH.FXCM,20120327,6.3125,6.3126,6.3169,6.3099,6.3155,6.3158,6.3186,6.312,2918
USDCNH.FXCM,20120328,6.3126,6.3149,6.3183,6.306,6.3158,6.3179,6.3213,6.3109,21699
USDCNH.FXCM,20120329,6.3149,6.3138,6.3174,6.3107,6.3179,6.3169,6.3206,6.3152,22662
USDCNH.FXCM,20120330,6.3138,6.309,6.3143,6.3062,6.3169,6.3123,6.3175,6.3094,26735
USDCNH.FXCM,20120402,6.309,6.3079,6.3108,6.3046,6.3123,6.3123,6.3158,6.3106,26746
USDCNH.FXCM,20120403,6.3079,6.3079,6.3108,6.3036,6.3123,6.3118,6.3174,6.3076,30735
USDCNH.FXCM,20120404,6.3079,6.3135,6.3143,6.3049,6.3118,6.317,6.3176,6.3093,26966
USDCNH.FXCM,20120405,6.3135,6.3111,6.3169,6.3106,6.317,6.3145,6.3197,6.3133,16628
USDCNH.FXCM,20120406,6.3111,6.3097,6.3169,6.3079,6.3145,6.3134,6.3186,6.3123,10520
USDCNH.FXCM,20120409,6.3097,6.3098,6.3126,6.3007,6.3134,6.3142,6.3349,6.3118,12611
USDCNH.FXCM,20120410,6.3098,6.3105,6.3119,6.3062,6.3142,6.3139,6.3159,6.3103,21549
USDCNH.FXCM,20120411,6.3105,6.3095,6.3136,6.3067,6.3139,6.313,6.32,6.3095,17001
USDCNH.FXCM,20120412,6.3095,6.2996,6.3102,6.2976,6.313,6.3031,6.3159,6.3022,20336
USDCNH.FXCM,20120413,6.2996,6.2973,6.3015,6.2907,6.3031,6.3008,6.31,6.2941,19377
USDCNH.FXCM,20120416,6.2973,6.2989,6.3167,6.2945,6.3008,6.3033,6.3241,6.2985,21165
USDCNH.FXCM,20120417,6.2989,6.2979,6.3032,6.2916,6.3033,6.3014,6.3058,6.2988,16477
USDCNH.FXCM,20120418,6.2979,6.3033,6.3058,6.2944,6.3014,6.3067,6.3129,6.2981,16870
USDCNH.FXCM,20120419,6.3033,6.3058,6.3088,6.3002,6.3067,6.3093,6.3117,6.3041,16864
USDCNH.FXCM,20120420,6.3058,6.303,6.3087,6.2984,6.3093,6.3065,6.3111,6.3035,14111
USDCNH.FXCM,20120423,6.303,6.3051,6.3072,6.2993,6.3065,6.3086,6.3105,6.303,14851
USDCNH.FXCM,20120424,6.3051,6.3045,6.3087,6.3028,6.3086,6.308,6.3111,6.3066,14886
USDCNH.FXCM,20120425,6.3045,6.3045,6.3072,6.3017,6.308,6.308,6.3097,6.3053,16645
USDCNH.FXCM,20120426,6.3045,6.3034,6.3058,6.2979,6.308,6.3071,6.3087,6.3021,15683
USDCNH.FXCM,20120427,6.3034,6.3005,6.3132,6.2993,6.3071,6.304,6.3172,6.3029,17395
USDCNH.FXCM,20120430,6.3005,6.2996,6.3027,6.2942,6.304,6.3033,6.314,6.3006,11590
USDCNH.FXCM,20120501,6.2996,6.2992,6.3006,6.2952,6.3033,6.3027,6.3061,6.3015,11831
USDCNH.FXCM,20120502,6.2992,6.3035,6.3057,6.2946,6.3027,6.3069,6.3117,6.2986,14767
USDCNH.FXCM,20120503,6.3035,6.3032,6.3088,6.2967,6.3069,6.3066,6.3162,6.3029,18826
USDCNH.FXCM,20120504,6.3032,6.3055,6.3068,6.298,6.3066,6.3089,6.3107,6.3039,15846
USDCNH.FXCM,20120507,6.3055,6.3068,6.314,6.3031,6.3089,6.3103,6.322,6.3089,18107
USDCNH.FXCM,20120508,6.3068,6.3075,6.3091,6.3022,6.3103,6.311,6.3151,6.308,16559
USDCNH.FXCM,20120509,6.3075,6.3125,6.3142,6.3051,6.311,6.3164,6.3186,6.3097,17761
USDCNH.FXCM,20120510,6.3125,6.3112,6.3159,6.3097,6.3164,6.3146,6.3199,6.313,17602
USDCNH.FXCM,20120511,6.3112,6.3123,6.3178,6.3075,6.3146,6.3162,6.321,6.3127,16532
USDCNH.FXCM,20120514,6.3123,6.319,6.3208,6.3084,6.3162,6.3229,6.329,6.3152,18290
USDCNH.FXCM,20120515,6.319,6.3195,6.3248,6.3149,6.3229,6.3229,6.328,6.3181,17726
USDCNH.FXCM,20120516,6.3195,6.3232,6.3292,6.3191,6.3229,6.3266,6.3351,6.3228,24512
USDCNH.FXCM,20120517,6.3232,6.3084,6.3269,6.308,6.3266,6.3291,6.3305,6.3211,17462
USDCNH.FXCM,20120518,6.3084,6.3201,6.3286,6.3036,6.3291,6.326,6.335,6.3248,15801
USDCNH.FXCM,20120521,6.3201,6.3244,6.3256,6.3037,6.326,6.3291,6.339,6.3202,15075
USDCNH.FXCM,20120522,6.3244,6.3243,6.3247,6.3186,6.3291,6.3279,6.3366,6.3217,15981
USDCNH.FXCM,20120523,6.3243,6.3303,6.3349,6.3179,6.3279,6.3368,6.3482,6.3275,18404
USDCNH.FXCM,20120524,6.3303,6.3416,6.3425,6.3298,6.3368,6.3451,6.3483,6.3348,28011
USDCNH.FXCM,20120525,6.3416,6.3453,6.3495,6.3371,6.3451,6.3489,6.3524,6.342,22708
USDCNH.FXCM,20120528,6.3453,6.3394,6.3453,6.3375,6.3489,6.3456,6.3489,6.341,14831
