ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
IXIC,19841011,244.2,244.7,244.7,244.2,,,,,6286.0
IXIC,19841012,245.5,246.2,246.2,245.5,244.7,1.5,0.613,0.29,5886.0
IXIC,19841015,246.8,247.7,247.7,246.8,246.2,1.5,0.6093,0.37,6182.0
IXIC,19841016,247.8,247.3,247.9,247.1,247.7,-0.4,-0.1615,0.32,5744.0
IXIC,19841017,247.1,247.1,247.1,246.8,247.3,-0.2,-0.0809,0.12,6467.0
IXIC,19841018,247.5,249.8,249.8,247.3,247.1,2.7,1.0927,1.01,6473.0
IXIC,19841019,252.2,251.2,252.2,251.2,249.8,1.4,0.5604,0.4,8761.0
IXIC,19841022,250.7,250.6,251.1,250.5,251.2,-0.6,-0.2389,0.24,5348.0
IXIC,19841023,251.1,250.6,251.1,250.5,250.6,0.0,0.0,0.24,5921.0
IXIC,19841024,250.7,250.8,250.8,250.4,250.6,0.2,0.0798,0.16,6336.0
IXIC,19841025,250.3,249.0,250.3,249.0,250.8,-1.8,-0.7177,0.52,6391.0
IXIC,19841026,247.7,247.4,247.7,247.3,249.0,-1.6,-0.6426,0.16,5289.0
IXIC,19841029,247.0,246.5,247.0,246.4,247.4,-0.9,-0.3638,0.24,4511.0
IXIC,19841030,246.9,247.5,247.5,246.9,246.5,1.0,0.4057,0.24,5655.0
IXIC,19841031,247.5,247.0,247.6,247.0,247.5,-0.5,-0.202,0.24,5887.0
IXIC,19841101,247.1,248.0,248.0,247.1,247.0,1.0,0.4049,0.36,5584.0
IXIC,19841102,248.0,248.0,248.4,248.0,248.0,0.0,0.0,0.16,6010.0
IXIC,19841105,247.8,248.4,248.4,247.6,248.0,0.4,0.1613,0.32,5605.0
IXIC,19841106,249.2,250.5,250.5,249.2,248.4,2.1,0.8454,0.52,6851.0
IXIC,19841107,250.5,249.8,250.5,249.8,250.5,-0.7,-0.2794,0.28,6220.0
IXIC,19841108,249.4,249.5,249.6,249.4,249.8,-0.3,-0.1201,0.08,6062.0
