ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,19271230,,17.66,,,,,,,
SPX,19280103,,17.76,,,17.66,0.1,0.5663,,
SPX,19280104,,17.72,,,17.76,-0.04,-0.2252,,
SPX,19280105,,17.55,,,17.72,-0.17,-0.9594,,
SPX,19280106,,17.66,,,17.55,0.11,0.6268,,
SPX,19280109,,17.5,,,17.66,-0.16,-0.906,,
SPX,19280110,,17.37,,,17.5,-0.13,-0.7429,,
SPX,19280111,,17.35,,,17.37,-0.02,-0.1151,,
SPX,19280112,,17.47,,,17.35,0.12,0.6916,,
SPX,19280113,,17.58,,,17.47,0.11,0.6297,,
SPX,19280116,,17.29,,,17.58,-0.29,-1.6496,,
SPX,19280117,,17.3,,,17.29,0.01,0.0578,,
SPX,19280118,,17.26,,,17.3,-0.04,-0.2312,,
SPX,19280119,,17.38,,,17.26,0.12,0.6952,,
SPX,19280120,,17.48,,,17.38,0.1,0.5754,,
SPX,19280123,,17.64,,,17.48,0.16,0.9153,,
SPX,19280124,,17.71,,,17.64,0.07,0.3968,,
SPX,19280125,,17.52,,,17.71,-0.19,-1.0728,,
SPX,19280126,,17.63,,,17.52,0.11,0.6279,,
SPX,19280127,,17.69,,,17.63,0.06,0.3403,,
SPX,19280130,,17.49,,,17.69,-0.2,-1.1306,,
SPX,19280131,,17.57,,,17.49,0.08,0.4574,,
SPX,19280201,,17.53,,,17.57,-0.04,-0.2277,,
SPX,19280202,,17.63,,,17.53,0.1,0.5705,,
SPX,19280203,,17.4,,,17.63,-0.23,-1.3046,,
SPX,19280206,,17.45,,,17.4,0.05,0.2874,,
SPX,19280207,,17.44,,,17.45,-0.01,-0.0573,,
SPX,19280208,,17.49,,,17.44,0.05,0.2867,,
SPX,19280209,,17.55,,,17.49,0.06,0.3431,,
SPX,19280210,,17.54,,,17.55,-0.01,-0.057,,
SPX,19280214,,17.44,,,17.54,-0.1,-0.5701,,
SPX,19280215,,17.4,,,17.44,-0.04,-0.2294,,
SPX,19280216,,17.35,,,17.4,-0.05,-0.2874,,
SPX,19280217,,17.04,,,17.35,-0.31,-1.7867,,
SPX,19280220,,16.95,,,17.04,-0.09,-0.5282,,
SPX,19280221,,17.11,,,16.95,0.16,0.944,,
SPX,19280223,,17.13,,,17.11,0.02,0.1169,,
SPX,19280224,,17.18,,,17.13,0.05,0.2919,,
SPX,19280227,,17.11,,,17.18,-0.07,-0.4075,,
SPX,19280228,,17.16,,,17.11,0.05,0.2922,,
SPX,19280229,,17.26,,,17.16,0.1,0.5828,,
SPX,19280301,,17.3,,,17.26,0.04,0.2318,,
SPX,19280302,,17.3,,,17.3,0.0,0.0,,
SPX,19280305,,17.57,,,17.3,0.27,1.5607,,
