date,close,unit_nav,premium
2015-07-13,0.958,0.9979,-0.039983966329291576
2015-07-14,0.967,1.0011,-0.03406253121566294
2015-07-15,0.963,1.0017,-0.038634321653189696
2015-07-16,0.966,1.0113,-0.044793829724117606
2015-07-17,0.989,1.0202,-0.030582238776710402
2015-07-20,0.99,1.0244,-0.03358063256540411
2015-07-21,0.994,1.0221,-0.027492417571666206
2015-07-22,1.002,1.0121,-0.009979251062148031
2015-07-23,1.006,1.0119,-0.0058306156734855286
2015-07-24,1.007,0.9962,0.010841196546877985
2015-07-27,0.993,0.986,0.007099391480730244
2015-07-28,0.978,0.9917,-0.013814661692044039
2015-07-29,0.988,0.9935,-0.005535983895319618
2015-07-30,0.988,1.0,-0.01200000000000001
2015-07-31,0.985,0.9972,-0.01223425591656635
2015-08-03,0.991,0.9943,-0.003318917831640289
2015-08-04,0.988,0.9881,-0.00010120433154536812
2015-08-05,0.986,0.9976,-0.011627906976744207
2015-08-06,0.991,0.9822,0.008959478721238145
2015-08-07,0.98,0.9806,-0.0006118702834999601
2015-08-10,0.975,0.9912,-0.016343825665859568
2015-08-11,1.004,0.9849,0.019392831759569518
2015-08-12,0.992,0.9951,-0.0031152647975077885
2015-08-13,0.999,0.9945,0.004524886877828038
2015-08-14,1.0,0.9976,0.002405773857257376
2015-08-17,0.993,1.0049,-0.011841974325803473
2015-08-18,0.998,1.0,-0.0020000000000000018
2015-08-19,0.995,0.9906,0.004441752473248517
2015-08-20,0.989,0.9586,0.031712914667223036
2015-08-21,0.944,0.9215,0.024416711882799813
2015-08-24,0.862,0.8786,-0.01889369451399958
2015-08-25,0.855,0.8853,-0.0342256862080651
2015-08-26,0.86,0.9236,-0.06886097877869202
2015-08-27,0.899,0.9483,-0.051987767584097844
2015-08-28,0.921,0.9483,-0.02878835811452074
2015-08-31,0.929,0.9338,-0.005140286999357424
2015-09-01,0.909,0.9076,0.0015425297487881018
2015-09-02,0.898,0.9281,-0.03243185001616211
2015-09-07,0.91,0.913,-0.003285870755750264
2015-09-08,0.915,0.9366,-0.023062139654067892
2015-09-09,0.92,0.9269,-0.007444168734491163
2015-09-10,0.914,0.9375,-0.02506666666666668
2015-09-11,0.92,0.9431,-0.024493691018980024
2015-09-14,0.929,0.9396,-0.011281396338867489
2015-09-15,0.912,0.9503,-0.040303062190887085
2015-09-16,0.94,0.9577,-0.018481779262817244
2015-09-17,0.941,0.9546,-0.014246804944479385
2015-09-18,0.948,0.9426,0.005728835136855404
2015-09-21,0.933,0.9421,-0.009659271839507433
2015-09-22,0.935,0.927,0.008629989212513456
2015-09-23,0.926,0.9269,-0.0009709785305856977
2015-09-24,0.915,0.9236,-0.009311390212213055
2015-09-25,0.915,0.9159,-0.0009826400262037405
2015-09-28,0.906,0.8865,0.021996615905245376
2015-09-29,0.871,0.8811,-0.011462944047213708
2015-09-30,0.878,0.9013,-0.0258515477643404
2015-10-08,0.924,0.9369,-0.01376881203970537
2015-10-09,0.927,0.941,-0.014877789585547196
2015-10-12,0.929,0.9422,-0.014009764381235357
2015-10-13,0.93,0.9331,-0.0033222591362126463
2015-10-14,0.929,0.9344,-0.005779109589041043
2015-10-15,0.926,0.9496,-0.024852569502948563
2015-10-16,0.941,0.9545,-0.014143530644316504
2015-10-19,0.942,0.9608,-0.019567027477102483
2015-10-20,0.949,0.9569,-0.008255826105131203
2015-10-21,0.945,0.9494,-0.004634506003791894
2015-10-22,0.94,0.9691,-0.03002786090186771
2015-10-23,0.97,0.9966,-0.026690748545053267
2015-10-26,0.985,0.997,-0.012036108324974926
2015-10-27,0.983,0.9978,-0.014832631789937878
2015-10-28,0.989,1.0068,-0.017679777512912165
2015-10-29,0.997,1.0059,-0.008847797991848094
2015-10-30,0.996,0.9994,-0.003402041224734753
2015-11-02,0.986,1.0052,-0.01910067648229219
2015-11-03,0.999,1.011,-0.01186943620178027
2015-11-04,1.0,1.0115,-0.011369253583786487
2015-11-05,0.994,1.0094,-0.015256588072122157
2015-11-06,1.0,1.0115,-0.011369253583786487
2015-11-09,1.002,1.0023,-0.0002993115833582749
2015-11-10,0.992,0.9995,-0.007503751875937992
2015-11-11,0.99,0.999,-0.009009009009009028
2015-11-12,0.989,0.9895,-0.000505305709954551
2015-11-13,0.986,0.9718,0.014612060094669754
2015-11-16,0.969,0.9863,-0.01754030213930846
2015-11-17,0.977,0.9866,-0.009730387188323641
2015-11-18,0.978,1.006,-0.027833001988071593
2015-11-19,1.0,1.0063,-0.0062605584815661475
2015-11-20,0.998,1.0127,-0.014515651229386695
2015-11-23,1.0,1.0115,-0.011369253583786487
2015-11-24,1.005,1.0108,-0.0057380292837356794
2015-11-25,0.997,1.0112,-0.014042721518987444
2015-11-26,1.003,1.0115,-0.008403361344538007
2015-11-27,1.002,1.0135,-0.011346817957572863
2015-11-30,0.999,1.0107,-0.011576135351736405
2015-12-01,1.006,1.0215,-0.01517376407244253
2015-12-02,1.017,1.0145,0.002464268112370549
2015-12-03,1.002,0.9972,0.004813477737665384
2015-12-04,0.995,1.0184,-0.022977219167321317
2015-12-07,1.005,1.0156,-0.010437179992123014
2015-12-08,1.001,1.0174,-0.016119520345980187
2015-12-09,1.008,1.0026,0.0053859964093359025
2015-12-10,0.997,1.0085,-0.011403073872087166
2015-12-11,1.002,0.9874,0.014786307474174532
2015-12-14,0.986,0.9965,-0.010536879076768702
2015-12-15,0.985,1.0033,-0.018239808631516086
2015-12-16,0.994,1.0188,-0.02434236356497832
2015-12-17,1.002,1.0063,-0.004273079598529184
2015-12-18,0.997,0.9888,0.008292880258899737
2015-12-21,0.989,0.9976,-0.008620689655172487
2015-12-22,0.988,1.0037,-0.01564212414067956
2015-12-23,0.988,1.0111,-0.022846404905548567
2015-12-24,0.996,1.0111,-0.014934230046484087
2015-12-25,0.994,1.0103,-0.016133821637137502
2015-12-28,0.991,1.0104,-0.019200316706254883
2015-12-29,0.993,1.0275,-0.033576642335766516
