mom_w,vol_w,val_w,top_n,defensive_allocation,total_return,annual_return,max_drawdown,defensive_weeks,total_weeks
0.3,0.2,0.4,1,0.35,1.479289132798049,0.07427469602319392,-0.1235257291023516,112,659
0.3,0.2,0.4,1,0.6,1.8550444977621927,0.08630366320574501,-0.16431099995826506,113,659
0.0,0.8,0.2,2,0.7,2.292109447904723,0.09858222328360378,-0.13680515305564453,66,659
0.4,0.4,0.4,1,0.55,1.7598667944800814,0.0834012965640436,-0.1635677565501741,103,659
0.45,0.8,0.3,1,0.7,1.7610887805870408,0.08343914055095203,-0.1664598365609804,88,659
0.4,0.9,0.4,2,0.7,2.3861250105114276,0.10102582167180585,-0.13231406595182632,64,659
0.5,0.2,0.0,1,0.7,2.910759954001407,0.11361176178506094,-0.17829712870118844,84,659
0.05,0.7,0.4,2,0.3,3.290431399706409,0.12178345116272138,-0.1053513818953662,29,659
0.15,0.8,0.2,1,0.7,1.7557288919148428,0.08327303412771614,-0.16645983656098015,88,659
0.05,0.2,0.3,1,0.3,1.2800857855095007,0.06719801851905993,-0.12517085218115617,132,659
0.2,0.8,0.3,1,0.7,1.7964147292106407,0.08452654281445593,-0.16645983656097998,84,659
0.4,0.7,0.3,2,0.55,2.7747580549303654,0.1105058253918787,-0.0947017455384097,33,659
0.35,0.4,0.2,2,0.45,2.9107854397163684,0.1136123344308837,-0.09498667506052381,27,659
0.2,0.3,0.1,2,0.45,2.84205183998244,0.11205530088985194,-0.10255537994962952,29,659
0.4,1.0,0.0,1,0.55,3.156011365732894,0.11896935796840169,-0.11376384808786351,50,659
0.1,0.7,0.1,1,0.5,1.7610973584297285,0.08343940614573175,-0.10473627919689489,69,659
0.1,0.7,0.1,1,0.75,1.6885407152531013,0.0811651910882012,-0.1465520529712913,60,659
0.3,0.9,0.4,1,0.3,1.8847033890212748,0.08718988458045884,-0.1095775900370346,74,659
0.3,0.9,0.0,1,0.35,3.3587987389002993,0.12318370939708823,-0.11954842975015689,91,659
0.3,0.9,0.0,1,0.6,2.784898732723194,0.11074094015582991,-0.11904098136970889,68,659
0.45,0.5,0.4,1,0.55,1.8418032278863259,0.08590526687754241,-0.1635677565501741,90,659
0.15,1.0,0.1,1,0.45,1.3006487639089035,0.06795432982116267,-0.10911799347558626,87,659
0.5,0.2,0.2,2,0.7,2.226562726289472,0.09684024629286747,-0.13929321832136413,76,659
0.5,0.7,0.2,1,0.55,1.2542025975043742,0.06623704664982033,-0.1635677565501738,155,659
0.1,0.2,0.3,2,0.45,2.6409974919403414,0.10734885498857039,-0.09812537636653351,44,659
0.45,0.5,0.2,2,0.5,2.864483686327651,0.11256625409230003,-0.10113856061300314,27,659
0.45,0.5,0.2,2,0.75,2.194835960874197,0.09598533374330165,-0.14815388165788831,73,659
0.0,0.9,0.0,1,0.45,3.1537312423695525,0.11892090420669121,-0.12276374006679079,66,659
0.5,0.7,0.0,2,0.5,3.6149598715767786,0.12825635403714086,-0.08348601543834747,4,659
0.5,0.2,0.3,1,0.45,1.5571465641943876,0.07689894210770265,-0.1283624494807296,81,659
0.5,0.7,0.0,2,0.75,2.5635325056110596,0.10547135265495045,-0.1481538816578883,60,659
0.4,1.0,0.2,2,0.55,2.716141743506511,0.10913527819798419,-0.1034173288599907,40,659
0.15,1.0,0.2,1,0.35,1.3476999169032204,0.06966172458276199,-0.17350198930846547,192,659
0.15,1.0,0.2,1,0.6,1.4220769917113416,0.07229748017117821,-0.16431099995826517,114,659
0.4,0.1,0.2,1,0.7,1.9082538530356707,0.08788762549489038,-0.1664598365609804,104,659
0.25,0.2,0.0,2,0.35,3.6927739811982327,0.12974594407736917,-0.10656377694569186,13,659
0.25,0.2,0.0,2,0.6,3.0032364945049013,0.11566735769882008,-0.11646361732069356,30,659
0.1,0.8,0.2,2,0.45,3.0363575468284756,0.11639295607745281,-0.10081635072320098,27,659
0.2,1.0,0.3,1,0.35,1.9890175794442704,0.0902415567684205,-0.1277695211905737,100,659
0.2,1.0,0.3,1,0.6,1.5478369022499656,0.07658905719343156,-0.1643109999582654,114,659
0.05,0.3,0.4,2,0.5,2.4858438573009347,0.10355028685537482,-0.11545458192378985,49,659
0.05,0.3,0.4,2,0.75,2.011121106726011,0.09087557123113443,-0.150988805848746,81,659
0.5,0.8,0.2,1,0.45,1.5249399214554522,0.07582243987317172,-0.12060429349381464,125,659
0.15,0.6,0.0,1,0.55,2.9379267605301402,0.11422023811132131,-0.10602652726664469,47,659
0.05,0.3,0.0,2,0.3,3.969675544230097,0.13486828547049234,-0.12865420997253305,29,659
0.35,0.1,0.4,2,0.55,2.308774187098007,0.0990200118132587,-0.11943035136772776,62,659
0.0,0.4,0.2,1,0.3,1.8456822739353167,0.0860221543417583,-0.10957759003703516,64,659
0.45,0.8,0.2,2,0.3,3.1008150223262065,0.11778947026971087,-0.10774160029247767,31,659
0.45,1.0,0.2,1,0.3,1.4041742173190328,0.07166992992617871,-0.17579892720770443,144,659
0.25,0.5,0.3,2,0.7,2.3136234685141295,0.09914702266530195,-0.13615022728386114,66,659
0.4,0.1,0.4,2,0.7,2.0968067312047682,0.09329351707321498,-0.1527879992462981,78,659
0.4,0.5,0.1,2,0.45,2.4213581161243183,0.10192550782646914,-0.10255537994962959,29,659
0.2,0.8,0.2,2,0.3,3.2798279142891227,0.12156443838293818,-0.10476638803958806,39,659
0.45,0.9,0.3,2,0.45,2.9314318636479775,0.114075119302393,-0.09498667506052383,29,659
0.4,0.2,0.2,1,0.4,1.4490289557195521,0.0732342224279432,-0.12209484852440464,86,659
0.4,0.2,0.2,1,0.65,1.6924887773948742,0.08129038517260256,-0.16520053113688715,94,659
0.25,0.9,0.2,1,0.55,1.295083803314054,0.06775026569344411,-0.16356775655017386,140,659
0.0,0.4,0.4,2,0.3,2.6134273027580854,0.10668489637803225,-0.10629846966126033,41,659
0.5,0.3,0.0,2,0.45,3.526512079240729,0.12653484782143942,-0.10016969255201935,12,659
0.35,0.7,0.4,2,0.7,2.341762273993143,0.09988066371443605,-0.13615022728386114,66,659
0.15,0.9,0.2,2,0.45,3.041873305015037,0.11651325934881185,-0.1008163507232008,27,659
0.05,0.3,0.3,2,0.55,2.3670563834360627,0.10053529702605823,-0.11673507537899201,53,659
0.2,1.0,0.0,1,0.45,2.731998698960651,0.10950799417459711,-0.12276374006679017,93,659
0.2,0.1,0.3,1,0.3,1.2104691328676043,0.06459000611678789,-0.13368695649161466,150,659
0.3,0.1,0.4,1,0.3,1.2040235394960184,0.06434472580661565,-0.13368695649161494,150,659
0.0,0.1,0.4,1,0.4,1.7118773713134252,0.08190275901038557,-0.12173543491479766,101,659
0.0,0.1,0.4,1,0.65,1.8167026332253147,0.08514533800224466,-0.16520053113688715,104,659
0.15,0.4,0.4,1,0.3,1.3223130448367955,0.06874444128245849,-0.12517085218115626,113,659
0.35,0.2,0.0,2,0.3,3.7662442232227855,0.13113164359683882,-0.11951684971654755,22,659
0.3,1.0,0.3,1,0.3,1.8175633509290892,0.08517149961196724,-0.1222866697264817,104,659
0.5,0.3,0.1,2,0.35,2.9396326741019583,0.11425831765460459,-0.11406919562226604,42,659
0.5,0.3,0.1,2,0.6,2.5734155659608606,0.10571296663604102,-0.11203989042044536,52,659
0.25,0.4,0.0,1,0.45,3.352507974099992,0.12305571404704141,-0.11968298246481322,69,659
0.45,1.0,0.3,2,0.5,2.876632149662661,0.11284183284260951,-0.10113856061300354,27,659
0.45,1.0,0.3,2,0.75,2.1998893858331057,0.09612202595287633,-0.14815388165788848,73,659
0.45,0.1,0.2,1,0.5,1.361844027845116,0.0701688266850311,-0.12223089923374787,108,659
0.45,0.1,0.2,1,0.75,1.8365666407521326,0.08574723924213679,-0.14655205297129084,87,659
0.15,0.4,0.0,2,0.35,3.8167517938381454,0.1320728847362158,-0.11887412363828298,22,659
0.15,0.4,0.0,2,0.6,3.123857197360368,0.11828379229239716,-0.11148206787850655,24,659
0.1,0.9,0.2,1,0.7,1.7611158227908974,0.08343997785309387,-0.16645983656098026,88,659
0.35,0.2,0.1,2,0.7,2.2623552283215105,0.09779546874989542,-0.1408368931095083,76,659
0.05,0.4,0.4,2,0.4,2.5781397762942966,0.10582824339289632,-0.10318793702564774,49,659
0.05,0.4,0.4,2,0.65,2.226296645954136,0.09683310872142781,-0.1311558919717322,60,659
0.0,0.8,0.1,2,0.5,2.735872519015991,0.1095988261583456,-0.1105432701227082,38,659
0.0,0.8,0.1,2,0.75,2.2080556520222125,0.09634249899357306,-0.14815388165788831,82,659
0.4,0.6,0.4,1,0.55,1.6390060593866682,0.07957987533477562,-0.1635677565501739,96,659
0.15,0.1,0.1,2,0.55,2.5564265183392467,0.10529724883848712,-0.11476696224367236,57,659
0.3,0.4,0.4,2,0.55,2.507828046427866,0.10409787546778859,-0.11673507537899211,53,659
0.4,0.8,0.0,1,0.7,2.4538582609948714,0.10274787227691284,-0.12383333866489261,61,659
0.4,0.2,0.3,2,0.7,2.2399811026560985,0.09719949133328187,-0.13422964547836075,69,659
0.25,0.1,0.2,1,0.55,1.7743358844968946,0.08384840619282419,-0.1635677565501736,106,659
0.2,0.1,0.2,2,0.4,2.7083145323686084,0.10895076014123717,-0.09579446592902856,35,659
0.2,0.1,0.2,2,0.65,2.189606701326826,0.09584367548325545,-0.12768762180069781,59,659
0.35,0.8,0.2,2,0.55,2.7493539834444416,0.10991425995930015,-0.1034173288599911,40,659
0.15,0.8,0.1,1,0.5,1.7401634416575673,0.08278895825545418,-0.10473627919689471,67,659
0.15,0.8,0.1,1,0.75,1.64000773467319,0.07961220367252064,-0.1465520529712908,62,659
0.15,0.1,0.2,2,0.45,2.644012583471383,0.10742118473419371,-0.09533786952846746,45,659
0.35,0.4,0.0,1,0.4,3.020904547927781,0.11605510515850859,-0.18109510622575287,151,659
0.35,0.4,0.0,1,0.65,2.473740177030694,0.10324744558944654,-0.17416807530474687,97,659
