date,premium_513100,premium_513500
2013-05-17,-0.006972,
2013-05-24,-0.003009,
2013-05-31,0.004024,
2013-06-07,-0.020141,
2013-06-14,0.000000,
2013-06-21,0.002088,
2013-06-28,-0.006192,
2013-07-05,0.002026,
2013-07-12,-0.002935,
2013-07-19,0.005923,
2013-07-26,-0.012708,
2013-08-02,-0.021989,
2013-08-09,-0.010608,
2013-08-16,-0.019589,
2013-08-23,-0.023099,
2013-08-30,-0.011753,
2013-09-06,-0.024015,
2013-09-13,-0.024668,
2013-09-18,-0.028918,
2013-09-27,0.000935,
2013-09-30,-0.009381,
2013-10-11,-0.006530,
2013-10-18,-0.007214,
2013-10-25,0.018784,
2013-11-01,-0.000894,
2013-11-08,0.009874,
2013-11-15,0.000884,
2013-11-22,-0.022928,
2013-11-29,-0.013021,
2013-12-06,-0.019913,
2013-12-13,-0.013193,
2013-12-20,-0.023196,
2013-12-27,0.004259,
2014-01-03,-0.001720,
2014-01-10,0.000000,
2014-01-17,0.003393,-0.019179
2014-01-24,0.019776,0.008866
2014-01-30,0.002586,-0.015375
2014-02-07,-0.007699,-0.015382
2014-02-14,-0.014988,-0.016571
2014-02-21,0.000000,-0.011238
2014-02-28,0.029654,-0.003600
2014-03-07,0.012336,-0.003950
2014-03-14,0.001674,-0.002156
2014-03-21,0.013289,-0.003377
2014-03-28,-0.004244,-0.003972
2014-04-04,0.025663,0.011474
2014-04-11,0.003515,0.004756
2014-04-18,-0.011140,-0.002989
2014-04-25,0.009434,0.006660
2014-04-30,-0.010152,-0.007065
2014-05-09,-0.012777,-0.003828
2014-05-16,-0.005902,-0.002391
2014-05-23,-0.012325,-0.008592
2014-05-30,0.001617,-0.004850
2014-06-06,0.000797,-0.001566
2014-06-13,-0.004013,-0.005017
2014-06-20,-0.000797,0.000183
2014-06-27,0.000000,0.001285
2014-07-04,0.007722,0.002995
2014-07-11,-0.003888,0.002476
2014-07-18,-0.006163,-0.008746
2014-07-25,0.003060,0.001821
2014-08-01,0.003900,0.005795
2014-08-08,-0.008574,-0.009143
2014-08-15,-0.003042,0.000829
2014-08-22,-0.003737,0.000633
2014-08-29,-0.009637,-0.006640
2014-09-05,-0.009615,-0.008856
2014-09-12,0.000746,0.004720
2014-09-19,0.003706,0.002331
2014-09-26,-0.016479,-0.011897
2014-09-30,-0.007491,0.002191
2014-10-10,0.016471,0.015123
2014-10-17,0.000000,-0.005736
2014-10-24,-0.012066,-0.011009
2014-10-31,-0.010287,-0.011254
2014-11-07,-0.002196,-0.004777
2014-11-14,-0.013015,-0.007424
2014-11-21,-0.009346,-0.012669
2014-11-28,-0.011997,-0.006368
2014-12-05,-0.013485,-0.013375
2014-12-12,-0.001463,-0.000632
2014-12-19,0.006456,-0.008373
2014-12-26,-0.007829,-0.008822
2014-12-31,0.008696,0.006488
2015-01-09,0.010182,0.007403
2015-01-16,0.000741,-0.005634
2015-01-23,-0.001433,0.011147
2015-01-30,0.013304,0.013172
2015-02-06,0.005801,-0.004295
2015-02-13,-0.006998,-0.006696
2015-02-17,0.004193,-0.004626
2015-02-27,-0.002066,-0.002302
2015-03-06,0.016678,0.018607
2015-03-13,0.012023,0.006799
2015-03-20,-0.003427,-0.009101
2015-03-27,0.017680,-0.003484
2015-04-03,0.004255,-0.006600
2015-04-10,-0.007628,-0.017933
2015-04-17,0.016973,-0.002677
2015-04-24,-0.009485,-0.013236
2015-04-30,0.018868,0.001036
2015-05-08,0.001381,-0.018525
2015-05-15,0.004115,-0.013476
2015-05-22,-0.001361,-0.010144
2015-05-29,0.008202,-0.004340
2015-06-05,0.007571,-0.004881
2015-06-12,0.008287,-0.000257
2015-06-19,-0.002048,-0.015126
2015-06-26,0.009615,-0.012104
2015-07-03,0.001388,-0.008621
2015-07-10,-0.034146,-0.031813
2015-07-17,-0.023825,-0.018605
2015-07-24,0.013532,0.009599
2015-07-31,0.024849,-0.002796
2015-08-07,0.018367,-0.000086
2015-08-14,0.009759,-0.012638
2015-08-21,0.042777,0.031794
2015-08-28,0.004752,-0.004455
2015-09-02,-0.009028,-0.007647
2015-09-11,0.001366,-0.005930
2015-09-18,0.011628,0.013910
2015-09-25,0.011863,0.001415
2015-09-30,-0.014144,-0.014361
2015-10-09,-0.016949,-0.011410
2015-10-16,-0.008021,-0.013430
2015-10-23,-0.017330,-0.016678
2015-10-30,0.003197,0.000248
2015-11-06,-0.005057,-0.004088
2015-11-13,0.014464,0.008794
2015-11-20,-0.001894,-0.000899
2015-11-27,-0.001261,-0.002689
2015-12-04,-0.015038,-0.016540
2015-12-11,0.023241,0.020837
2015-12-18,0.021263,0.013898
2015-12-25,-0.003781,0.000326
2015-12-31,0.022770,0.011558
2016-01-08,0.032952,0.027941
2016-01-15,0.024931,0.031809
2016-01-22,-0.017544,0.016964
2016-01-29,-0.019502,-0.013096
2016-02-05,0.062410,0.056407
2016-02-19,0.003470,0.022945
2016-02-26,0.002042,0.013998
2016-03-04,0.004664,0.002496
2016-03-11,-0.014628,-0.010589
2016-03-18,0.000000,-0.004836
2016-03-25,-0.005249,-0.006140
2016-04-01,-0.017375,-0.014599
2016-04-08,-0.001300,-0.001720
2016-04-15,-0.007029,-0.009081
2016-04-22,0.003894,-0.002719
2016-04-29,0.010745,0.008301
2016-05-06,-0.003336,-0.008739
2016-05-13,0.000000,0.009100
2016-05-20,-0.010540,-0.007824
2016-05-27,-0.010828,-0.009073
2016-06-03,-0.002540,0.000393
2016-06-08,-0.008895,-0.006788
2016-06-17,0.014398,0.006525
2016-06-24,0.022727,0.019021
2016-07-01,-0.009585,0.003568
2016-07-08,-0.023676,-0.010587
2016-07-15,-0.002462,0.019228
2016-07-22,-0.006675,0.030820
2016-07-29,-0.001200,0.064756
2016-08-05,-0.010676,0.037708
2016-08-12,0.004723,0.035435
2016-08-19,0.002966,0.032751
2016-08-26,0.008309,0.040806
2016-09-02,-0.001179,0.045966
2016-09-09,0.036880,0.102284
2016-09-14,-0.005354,0.078342
2016-09-23,0.033819,0.100346
2016-09-30,-0.009286,0.084662
2016-10-14,0.015222,0.150704
2016-10-21,-0.002885,0.134677
2016-10-28,0.008125,0.131650
2016-11-04,0.024625,0.145585
2016-11-11,-0.001169,0.100250
2016-11-18,0.005718,0.125541
2016-11-25,0.011236,0.200821
2016-12-02,0.017981,0.206463
2016-12-09,0.000000,0.222817
2016-12-16,0.007202,0.270871
2016-12-23,0.013245,0.310934
2016-12-30,0.019641,0.099414
2017-01-06,-0.001653,0.008176
2017-01-13,-0.001088,0.004907
2017-01-20,-0.000545,-0.001111
2017-01-26,0.009120,0.002406
2017-02-03,0.001609,-0.005707
2017-02-10,0.009499,0.000204
2017-02-17,0.005206,-0.001211
2017-02-24,0.012940,0.005062
2017-03-03,0.014879,0.074560
2017-03-10,0.018377,0.049366
2017-03-17,0.037755,0.064420
2017-03-24,0.006176,0.034067
2017-03-31,0.017748,0.045014
2017-04-07,-0.001018,0.027913
2017-04-14,0.001035,0.025173
2017-04-21,-0.000508,0.022826
2017-04-28,-0.001484,0.022652
2017-05-05,-0.008317,0.011001
2017-05-12,-0.004852,0.012467
2017-05-19,-0.005868,-0.006072
2017-05-26,0.008130,0.007166
2017-06-02,0.005701,0.004037
2017-06-09,0.034600,-0.000719
2017-06-16,0.010837,0.001437
2017-06-23,-0.004325,-0.000845
2017-06-30,0.000000,0.001251
2017-07-07,-0.011381,-0.006232
2017-07-14,-0.012488,-0.009465
2017-07-21,-0.001906,-0.001167
2017-07-28,-0.006689,-0.004087
2017-08-04,-0.003841,-0.007862
2017-08-11,-0.006846,0.004248
2017-08-18,0.004423,0.003534
2017-08-25,0.004410,-0.003186
2017-09-01,-0.004331,-0.005686
2017-09-08,0.006417,0.006200
2017-09-15,-0.006302,-0.006264
2017-09-22,-0.003401,-0.004321
2017-09-29,-0.009569,-0.007033
2017-10-13,-0.005206,-0.000706
2017-10-20,-0.001411,-0.006211
2017-10-27,-0.021188,-0.008743
2017-11-03,-0.003202,0.009719
2017-11-10,-0.000910,-0.002269
2017-11-17,0.000454,-0.000631
2017-11-24,-0.004957,-0.000818
2017-12-01,0.017249,-0.002902
2017-12-08,-0.000452,-0.000491
2017-12-15,-0.008000,-0.006522
2017-12-22,0.012494,0.005310
2017-12-29,0.012721,0.007958
2018-01-05,-0.009683,-0.008109
2018-01-12,0.002167,-0.002382
2018-01-19,0.001300,-0.003525
2018-01-26,-0.010239,-0.004493
2018-02-02,0.025481,0.027040
2018-02-09,-0.019222,-0.015743
2018-02-14,-0.016151,-0.015981
2018-02-23,-0.025141,-0.019572
2018-03-02,-0.007926,-0.004611
2018-03-09,-0.023579,-0.019727
2018-03-16,-0.001708,-0.005249
2018-03-23,0.017544,0.024057
2018-03-30,0.005039,-0.005561
2018-04-04,-0.019337,-0.016754
2018-04-13,0.005018,-0.000837
2018-04-20,0.014059,0.004358
2018-04-27,0.006763,-0.000636
2018-05-04,-0.014159,-0.006492
2018-05-11,-0.002153,-0.008511
2018-05-18,0.001736,-0.004789
2018-05-25,-0.003426,0.003653
2018-06-01,-0.017212,-0.013384
2018-06-08,0.000416,-0.006350
2018-06-15,0.008157,0.007103
2018-06-22,0.015096,0.003074
2018-06-29,0.001636,-0.000120
2018-07-06,-0.005575,0.001235
2018-07-13,0.008524,0.002708
2018-07-20,0.001919,0.001364
2018-07-27,0.023095,0.019191
2018-08-03,0.020008,0.002000
2018-08-10,0.003386,0.008174
2018-08-17,0.001878,-0.000165
2018-08-24,-0.011494,-0.010420
2018-08-31,0.000000,0.003155
2018-09-07,0.001505,0.001100
2018-09-14,0.006285,0.003091
2018-09-21,0.007781,0.002904
2018-09-28,0.001091,-0.001773
